id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748282,0.00,,,Start 1:e halvleg,,,,,,,,
2,748282,0.30,1-0,IKA,Mål,Gbr,21,Ingvild BAKKERUD,,,,16,Anna VENG
3,748282,1.31,,SVK,Skud reddet,Gbr,6,Thea RASMUSSEN,,,,12,Filippa IDÉHN
4,748282,1.41,,IKA,Fejlaflevering,,8,Jamina ROBERTS,,,,,
5,748282,2.30,1-1,SVK,Mål,Gbr,4,Maria HOLM,,,,12,Filippa IDÉHN
6,748282,2.41,2-1,IKA,Mål,2:e,22,Lærke NOLSØE,Assist,8,Jamina ROBERTS,16,Anna VENG
7,748282,3.16,,SVK,Fejlaflevering,,4,Maria HOLM,Bold erobret,22,Lærke NOLSØE,,
8,748282,3.20,3-1,IKA,Mål,1:e,6,Cecilie BRANDT,Assist,7,Stine SKOGRAND,16,Anna VENG
9,748282,3.31,3-2,SVK,Mål,2:e,6,Thea RASMUSSEN,,,,12,Filippa IDÉHN
10,748282,4.10,4-2,IKA,Mål,PL,7,Stine SKOGRAND,,,,16,Anna VENG
11,748282,4.53,,SVK,Skud reddet,VB,31,Andrea West BENDTSEN,,,,12,Filippa IDÉHN
12,748282,5.00,5-2,IKA,Mål,2:e,21,Ingvild BAKKERUD,,,,16,Anna VENG
13,748282,5.58,,SVK,Skud på stolpe,HB,4,Maria HOLM,,,,12,Filippa IDÉHN
14,748282,6.42,,IKA,Skud reddet,HB,7,Stine SKOGRAND,,,,16,Anna VENG
15,748282,6.54,5-3,SVK,Mål,2:e,23,Thilde FRANDSEN,Assist,4,Maria HOLM,12,Filippa IDÉHN
16,748282,7.59,,IKA,Skud reddet,PL,21,Ingvild BAKKERUD,,,,16,Anna VENG
17,748282,8.43,,SVK,Fejlaflevering,,31,Andrea West BENDTSEN,Bold erobret,21,Ingvild BAKKERUD,,
18,748282,8.47,6-3,IKA,Mål,1:e,6,Cecilie BRANDT,Assist,21,Ingvild BAKKERUD,16,Anna VENG
19,748282,9.01,,SVK,Time out,,,,,,,,
20,748282,9.21,6-4,SVK,Mål,Gbr,31,Andrea West BENDTSEN,,,,12,Filippa IDÉHN
21,748282,9.52,7-4,IKA,Mål,Gbr,8,Jamina ROBERTS,,,,16,Anna VENG
22,748282,10.21,7-5,SVK,Mål,Gbr,21,Maja EDLING,Assist,4,Maria HOLM,12,Filippa IDÉHN
23,748282,10.33,,IKA,Fejlaflevering,,8,Jamina ROBERTS,Bold erobret,23,Thilde FRANDSEN,,
24,748282,10.44,,SVK,Tabt bold,,6,Thea RASMUSSEN,,,,,
25,748282,11.28,8-5,IKA,Mål,VB,17,Simone PETERSEN,,,,16,Anna VENG
26,748282,12.20,,SVK,Skud reddet,HB,4,Maria HOLM,,,,12,Filippa IDÉHN
27,748282,12.27,,IKA,Tilkendt straffe,,21,Ingvild BAKKERUD,Forårs. str.,15,Karen KLOKKER,,
28,748282,12.27,,SVK,Udvisning,,15,Karen KLOKKER,,,,,
29,748282,12.34,,IKA,Straffekast forbi,,17,Simone PETERSEN,,,,22,Stine BONDE
30,748282,13.36,,SVK,Skud reddet,VB,6,Thea RASMUSSEN,,,,12,Filippa IDÉHN
31,748282,13.53,9-5,IKA,Mål,Gbr,14,Emma LINDQVIST,,,,22,Stine BONDE
32,748282,14.23,,SVK,Skud på stolpe,HF,23,Thilde FRANDSEN,,,,12,Filippa IDÉHN
33,748282,15.10,,IKA,Regelfejl,,8,Jamina ROBERTS,,,,,
34,748282,15.14,,SVK,Fejlaflevering,,31,Andrea West BENDTSEN,Bold erobret,22,Lærke NOLSØE,,
35,748282,15.56,,IKA,Regelfejl,,6,Cecilie BRANDT,,,,,
36,748282,16.31,9-6,SVK,Mål,ST,13,Mathilde KRISTENSEN,Assist,31,Andrea West BENDTSEN,12,Filippa IDÉHN
37,748282,17.04,10-6,IKA,Mål,HB,14,Emma LINDQVIST,,,,22,Stine BONDE
38,748282,17.44,10-7,SVK,Mål,PL,6,Thea RASMUSSEN,,,,12,Filippa IDÉHN
39,748282,18.21,11-7,IKA,Mål,Gbr,8,Jamina ROBERTS,,,,22,Stine BONDE
40,748282,18.33,,SVK,Skud reddet,2:e,6,Thea RASMUSSEN,,,,12,Filippa IDÉHN
41,748282,18.38,12-7,IKA,Mål,1:e,6,Cecilie BRANDT,Assist,21,Ingvild BAKKERUD,22,Stine BONDE
42,748282,19.41,,SVK,Skud blokeret,PL,4,Maria HOLM,Blok af (ret),21,Ingvild BAKKERUD,,
43,748282,19.55,,IKA,Udvisning,,21,Ingvild BAKKERUD,,,,,
44,748282,20.07,12-8,SVK,Mål,Gbr,4,Maria HOLM,,,,12,Filippa IDÉHN
45,748282,21.13,13-8,IKA,Mål,PL,17,Simone PETERSEN,,,,22,Stine BONDE
46,748282,21.55,,SVK,Skud reddet,ST,13,Mathilde KRISTENSEN,,,,12,Filippa IDÉHN
47,748282,22.08,,IKA,Time out,,,,,,,,
48,748282,22.23,14-8,IKA,Mål,Gbr,8,Jamina ROBERTS,,,,22,Stine BONDE
49,748282,22.30,14-9,SVK,Mål,2:e,31,Andrea West BENDTSEN,,,,12,Filippa IDÉHN
50,748282,23.15,,IKA,Tilkendt straffe,,7,Stine SKOGRAND,Forårs. str.,15,Karen KLOKKER,,
51,748282,23.37,15-9,IKA,Mål på straffe,,7,Stine SKOGRAND,,,,22,Stine BONDE
52,748282,24.18,,SVK,Fejlaflevering,,11,Sara MADSEN,Bold erobret,7,Stine SKOGRAND,,
53,748282,24.42,,IKA,Regelfejl,,17,Simone PETERSEN,,,,,
54,748282,24.55,,SVK,Tilkendt straffe,,15,Karen KLOKKER,Forårs. str.,20,Ane HØGSETH,,
55,748282,25.05,,SVK,Straffekast reddet,,21,Maja EDLING,,,,12,Filippa IDÉHN
56,748282,25.34,,IKA,Fejlaflevering,,17,Simone PETERSEN,,,,,
57,748282,26.05,15-10,SVK,Mål,HB,11,Sara MADSEN,,,,12,Filippa IDÉHN
58,748282,26.38,16-10,IKA,Mål,VF,22,Lærke NOLSØE,Assist,8,Jamina ROBERTS,22,Stine BONDE
59,748282,27.10,16-11,SVK,Mål,Gbr,11,Sara MADSEN,,,,12,Filippa IDÉHN
60,748282,27.57,17-11,IKA,Mål,PL,7,Stine SKOGRAND,,,,22,Stine BONDE
61,748282,28.28,,SVK,Skud forbi,VB,3,Isabella POULSEN,,,,12,Filippa IDÉHN
62,748282,28.35,,IKA,Fejlaflevering,,12,Filippa IDÉHN,,,,,
63,748282,29.06,,SVK,Skud reddet,PL,11,Sara MADSEN,,,,12,Filippa IDÉHN
64,748282,29.20,,IKA,Tabt bold,,0,,,,,,
65,748282,29.28,,SVK,Tabt bold,,11,Sara MADSEN,Bold erobret,22,Lærke NOLSØE,,
66,748282,29.34,18-11,IKA,Mål,PL,22,Lærke NOLSØE,Assist,17,Simone PETERSEN,22,Stine BONDE
67,748282,29.59,,SVK,Tilkendt straffe,,13,Mathilde KRISTENSEN,Forårs. str.,7,Stine SKOGRAND,,
68,748282,30.00,,SVK,Straffekast reddet,,21,Maja EDLING,,,,12,Filippa IDÉHN
69,748282,30.00,18-11,,Halvleg,,,,,,,,
70,748282,30.00,,,Start 2:e halvleg,,,,,,,,
71,748282,30.40,,SVK,Fejlaflevering,,6,Thea RASMUSSEN,,,,,
72,748282,30.49,,IKA,Skud reddet,1:e,21,Ingvild BAKKERUD,,,,22,Stine BONDE
73,748282,31.00,,SVK,Skud på stolpe,2:e,11,Sara MADSEN,,,,12,Filippa IDÉHN
74,748282,31.32,,IKA,Skud reddet,Gbr,14,Emma LINDQVIST,,,,22,Stine BONDE
75,748282,32.12,18-12,SVK,Mål,Gbr,6,Thea RASMUSSEN,,,,12,Filippa IDÉHN
76,748282,32.24,,IKA,Skud reddet,2:e,7,Stine SKOGRAND,,,,22,Stine BONDE
77,748282,33.14,,SVK,Skud reddet,PL,11,Sara MADSEN,,,,12,Filippa IDÉHN
78,748282,33.24,19-12,IKA,Mål,2:e,7,Stine SKOGRAND,,,,22,Stine BONDE
79,748282,33.35,,SVK,Skud reddet,2:e,11,Sara MADSEN,,,,12,Filippa IDÉHN
80,748282,33.40,20-12,IKA,Mål,2:e,21,Ingvild BAKKERUD,,,,22,Stine BONDE
81,748282,34.43,20-13,SVK,Mål,ST,13,Mathilde KRISTENSEN,Assist,11,Sara MADSEN,12,Filippa IDÉHN
82,748282,35.32,,IKA,Tilkendt straffe,,7,Stine SKOGRAND,Forårs. str.,13,Mathilde KRISTENSEN,,
83,748282,35.32,,SVK,Udvisning,,13,Mathilde KRISTENSEN,,,,,
84,748282,35.36,,IKA,Straffekast reddet,,17,Simone PETERSEN,,,,22,Stine BONDE
85,748282,36.24,20-14,SVK,Mål,ST,15,Karen KLOKKER,Assist,11,Sara MADSEN,12,Filippa IDÉHN
86,748282,36.44,,IKA,Fejlaflevering,,17,Simone PETERSEN,,,,,
87,748282,37.08,20-15,SVK,Mål,Gbr,6,Thea RASMUSSEN,,,,12,Filippa IDÉHN
88,748282,37.38,21-15,IKA,Mål,ST,19,Amanda Loft HANSEN,Assist,17,Simone PETERSEN,22,Stine BONDE
89,748282,38.11,,SVK,Skud på stolpe,PL,6,Thea RASMUSSEN,,,,12,Filippa IDÉHN
90,748282,38.21,22-15,IKA,Mål,2:e,7,Stine SKOGRAND,,,,22,Stine BONDE
91,748282,39.17,,SVK,Skud reddet,PL,11,Sara MADSEN,,,,12,Filippa IDÉHN
92,748282,39.24,,IKA,Skud på stolpe,1:e,19,Amanda Loft HANSEN,Retur,22,Lærke NOLSØE,22,Stine BONDE
93,748282,39.53,,IKA,Tabt bold,,21,Ingvild BAKKERUD,Bold erobret,6,Thea RASMUSSEN,,
94,748282,40.24,,SVK,Skud på stolpe,PL,11,Sara MADSEN,,,,12,Filippa IDÉHN
95,748282,40.33,,IKA,Skud reddet,1:e,18,Maria LYKKEGAARD,,,,22,Stine BONDE
96,748282,40.39,22-16,SVK,Mål,2:e,6,Thea RASMUSSEN,,,,12,Filippa IDÉHN
97,748282,40.47,,IKA,Time out,,,,,,,,
98,748282,41.09,,IKA,Tilkendt straffe,,14,Emma LINDQVIST,Forårs. str.,31,Andrea West BENDTSEN,,
99,748282,41.28,23-16,IKA,Mål på straffe,,7,Stine SKOGRAND,,,,22,Stine BONDE
100,748282,42.05,23-17,SVK,Mål,ST,13,Mathilde KRISTENSEN,Assist,4,Maria HOLM,12,Filippa IDÉHN
101,748282,42.15,,IKA,Skud reddet,2:e,21,Ingvild BAKKERUD,,,,22,Stine BONDE
102,748282,42.50,23-18,SVK,Mål,HF,23,Thilde FRANDSEN,Assist,4,Maria HOLM,12,Filippa IDÉHN
103,748282,43.30,,IKA,Skud reddet,Gbr,7,Stine SKOGRAND,Retur,77,Line Mai HOUGAARD,22,Stine BONDE
104,748282,43.45,,,,,,,,,,,
105,748282,44.32,,SVK,Skud reddet,VB,31,Andrea West BENDTSEN,,,,12,Filippa IDÉHN
106,748282,44.40,,IKA,Tilkendt straffe,,8,Jamina ROBERTS,Forårs. str.,23,Thilde FRANDSEN,,
107,748282,44.56,24-18,IKA,Mål på straffe,,7,Stine SKOGRAND,,,,22,Stine BONDE
108,748282,45.33,,SVK,Skud reddet,PL,4,Maria HOLM,,,,12,Filippa IDÉHN
109,748282,45.41,,IKA,Fejlaflevering,,17,Simone PETERSEN,,,,,
110,748282,45.46,24-19,SVK,Mål,2:e,6,Thea RASMUSSEN,,,,12,Filippa IDÉHN
111,748282,46.58,25-19,IKA,Mål,HB,7,Stine SKOGRAND,,,,22,Stine BONDE
112,748282,47.39,,SVK,Skud reddet,Gbr,6,Thea RASMUSSEN,,,,12,Filippa IDÉHN
113,748282,47.46,26-19,IKA,Mål,2:e,2,Matilde KONDRUP NIELSEN,Assist,17,Simone PETERSEN,22,Stine BONDE
114,748282,48.19,26-20,SVK,Mål,PL,4,Maria HOLM,,,,12,Filippa IDÉHN
115,748282,48.46,,IKA,Fejlaflevering,,8,Jamina ROBERTS,Bold erobret,23,Thilde FRANDSEN,,
116,748282,49.44,,SVK,Skud reddet,HF,23,Thilde FRANDSEN,,,,89,Emily Stang SANDO
117,748282,49.51,27-20,IKA,Mål,2:e,8,Jamina ROBERTS,,,,22,Stine BONDE
