id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748283,0.00,,,Start 1:e halvleg,,,,,,,,
2,748283,0.38,0-1,VHK,Mål,VB,26,Christina PEDERSEN,,,,24,Josephine NORDSTRØM
3,748283,1.12,,BFH,Regelfejl,,18,Sidsel POULSEN,,,,,
4,748283,1.43,0-2,VHK,Mål,HB,62,Louise SØNDERGAARD,,,,24,Josephine NORDSTRØM
5,748283,2.21,,BFH,Fejlaflevering,,31,Marianne HAUGSTED,,,,,
6,748283,2.29,,VHK,Fejlaflevering,,77,Jana MITTÚN,Bold erobret,4,Emilie BANGSHØI,,
7,748283,3.00,,BFH,Fejlaflevering,,7,Line GYLDENLØVE,Bold erobret,3,Alberte SIMONSEN,,
8,748283,3.07,0-3,VHK,Mål,2:e,5,Marielle MARTINSEN,,,,24,Josephine NORDSTRØM
9,748283,3.46,,BFH,Skud reddet,PL,72,Line FRANDSEN,,,,16,Louise Bak JENSEN
10,748283,4.24,,VHK,Skud reddet,VB,26,Christina PEDERSEN,,,,24,Josephine NORDSTRØM
11,748283,4.35,,BFH,Skud reddet,2:e,72,Line FRANDSEN,,,,16,Louise Bak JENSEN
12,748283,4.41,0-4,VHK,Mål,2:e,26,Christina PEDERSEN,,,,24,Josephine NORDSTRØM
13,748283,4.48,,BFH,Time out,,,,,,,,
14,748283,5.20,,BFH,Skud forbi,HB,7,Line GYLDENLØVE,,,,16,Louise Bak JENSEN
15,748283,6.03,,VHK,Regelfejl,,0,,,,,,
16,748283,6.38,1-4,BFH,Mål,ST,18,Sidsel POULSEN,Assist,7,Line GYLDENLØVE,16,Louise Bak JENSEN
17,748283,6.50,,VHK,Skud reddet,VF,3,Alberte SIMONSEN,Retur,5,Marielle MARTINSEN,24,Josephine NORDSTRØM
18,748283,7.22,1-5,VHK,Mål,ST,19,Sara HALD,Assist,62,Louise SØNDERGAARD,24,Josephine NORDSTRØM
19,748283,7.49,2-5,BFH,Mål,ST,19,Rikke Dahl NIELSEN,Assist,72,Line FRANDSEN,16,Louise Bak JENSEN
20,748283,8.02,2-6,VHK,Mål,VB,26,Christina PEDERSEN,,,,24,Josephine NORDSTRØM
