id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748284,0.00,,,Start 1:e halvleg,,,,,,,,
2,748284,0.30,,ODE,Tabt bold,,20,Lysa DEFO,,,,,
3,748284,1.07,,HHE,Skud blokeret,HB,19,Frida Haug HOEL,Blok af (ret),20,Lysa DEFO,,
4,748284,1.16,1-0,HHE,Mål,Gbr,14,Mai KRAGBALLE,,,,38,Yara TEN HOLTE
5,748284,1.21,1-1,ODE,Mål,2:e,33,Thale Rushfeldt DEILA,,,,1,Mathilde BISGAARD
6,748284,1.51,2-1,HHE,Mål,PL,14,Mai KRAGBALLE,,,,38,Yara TEN HOLTE
7,748284,2.43,,ODE,Fejlaflevering,,33,Thale Rushfeldt DEILA,Bold erobret,3,Alma SKRETTING,,
8,748284,2.50,3-1,HHE,Mål,1:e,33,Laura Holm ANDERSEN,Assist,19,Frida Haug HOEL,38,Yara TEN HOLTE
9,748284,3.14,,ODE,Skud reddet,HB,27,Louise BURGAARD,,,,1,Mathilde BISGAARD
10,748284,3.27,4-1,HHE,Mål,Gbr,19,Frida Haug HOEL,,,,38,Yara TEN HOLTE
11,748284,3.35,,ODE,Skud på stolpe,1:e,23,Elma HALILCEVIC,,,,1,Mathilde BISGAARD
12,748284,4.18,,HHE,Skud på stolpe,HF,22,Sille Cecilie SORTH,,,,38,Yara TEN HOLTE
13,748284,4.24,4-2,ODE,Mål,2:e,23,Elma HALILCEVIC,Assist,33,Thale Rushfeldt DEILA,1,Mathilde BISGAARD
14,748284,5.01,,HHE,Skud reddet,ST,3,Alma SKRETTING,,,,38,Yara TEN HOLTE
15,748284,5.06,4-3,ODE,Mål,2:e,33,Thale Rushfeldt DEILA,,,,1,Mathilde BISGAARD
16,748284,5.37,,HHE,Tilkendt straffe,,19,Frida Haug HOEL,Forårs. str.,23,Elma HALILCEVIC,,
17,748284,5.54,5-3,HHE,Mål på straffe,,14,Mai KRAGBALLE,,,,38,Yara TEN HOLTE
18,748284,6.23,,ODE,Fejlaflevering,,27,Louise BURGAARD,,,,,
19,748284,6.33,6-3,HHE,Mål,2:e,3,Alma SKRETTING,Assist,11,Fanny ELOVSSON,38,Yara TEN HOLTE
20,748284,6.46,6-4,ODE,Mål,ST,20,Lysa DEFO,Assist,33,Thale Rushfeldt DEILA,1,Mathilde BISGAARD
21,748284,7.18,7-4,HHE,Mål,HF,22,Sille Cecilie SORTH,Assist,7,Maria Palsdottir NÓLSOY,38,Yara TEN HOLTE
22,748284,7.34,,ODE,Time out,,,,,,,,
23,748284,7.51,7-5,ODE,Mål,ST,20,Lysa DEFO,Assist,33,Thale Rushfeldt DEILA,1,Mathilde BISGAARD
24,748284,8.54,,HHE,Skud reddet,PL,14,Mai KRAGBALLE,,,,38,Yara TEN HOLTE
25,748284,9.04,7-6,ODE,Mål,PL,33,Thale Rushfeldt DEILA,,,,1,Mathilde BISGAARD
26,748284,9.39,,HHE,Skud på stolpe,PL,14,Mai KRAGBALLE,Retur,22,Sille Cecilie SORTH,38,Yara TEN HOLTE
27,748284,9.47,,HHE,Skud på stolpe,HF,22,Sille Cecilie SORTH,,,,38,Yara TEN HOLTE
28,748284,10.22,7-7,ODE,Mål,Gbr,8,Helene FAUSKE,,,,1,Mathilde BISGAARD
29,748284,10.36,,ODE,Advarsel,,20,Lysa DEFO,,,,,
30,748284,11.19,8-7,HHE,Mål,ST,21,Romee MAARSCHALKEWEERD,Assist,14,Mai KRAGBALLE,38,Yara TEN HOLTE
31,748284,11.33,,ODE,Tilkendt straffe,,20,Lysa DEFO,Forårs. str.,11,Fanny ELOVSSON,,
32,748284,11.43,8-8,ODE,Mål på straffe,,22,Ragnhild DAHL,,,,1,Mathilde BISGAARD
33,748284,12.19,,HHE,Fejlaflevering,,19,Frida Haug HOEL,Bold erobret,6,Malin AUNE,,
34,748284,12.45,,ODE,Skud reddet,Gbr,27,Louise BURGAARD,,,,1,Mathilde BISGAARD
35,748284,13.38,,HHE,Skud på stolpe,PL,14,Mai KRAGBALLE,,,,38,Yara TEN HOLTE
36,748284,14.11,,ODE,Skud reddet,VB,27,Louise BURGAARD,,,,1,Mathilde BISGAARD
37,748284,14.39,9-8,HHE,Mål,Gbr,14,Mai KRAGBALLE,,,,38,Yara TEN HOLTE
38,748284,14.45,,ODE,Advarsel,A,,Ole Gustav GJEKSTAD,,,,,
39,748284,15.06,9-9,ODE,Mål,HF,6,Malin AUNE,Assist,27,Louise BURGAARD,1,Mathilde BISGAARD
40,748284,15.37,10-9,HHE,Mål,Gbr,19,Frida Haug HOEL,,,,38,Yara TEN HOLTE
41,748284,15.48,,ODE,Tabt bold,,20,Lysa DEFO,Bold erobret,11,Fanny ELOVSSON,,
42,748284,16.32,,HHE,Skud reddet,ST,21,Romee MAARSCHALKEWEERD,,,,38,Yara TEN HOLTE
43,748284,16.39,,ODE,Tilkendt straffe,,27,Louise BURGAARD,Forårs. str.,11,Fanny ELOVSSON,,
44,748284,16.39,,HHE,Udvisning,,11,Fanny ELOVSSON,,,,,
45,748284,16.41,10-10,ODE,Mål på straffe,,22,Ragnhild DAHL,,,,1,Mathilde BISGAARD
46,748284,17.17,,HHE,Fejlaflevering,,14,Mai KRAGBALLE,Bold erobret,23,Elma HALILCEVIC,,
47,748284,17.20,10-11,ODE,Mål,1:e,23,Elma HALILCEVIC,,,,0,
48,748284,18.20,,HHE,Skud blokeret,PL,14,Mai KRAGBALLE,Blok af (ret),3,Maren AARDAHL,,
