id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748286,0.00,,,Start 1:e halvleg,,,,,,,,
2,748286,0.32,1-0,TES,Mål,PL,4,Michala MØLLER,,,,2,Bianca SCHANSSEMA
3,748286,1.06,,KBH,Tabt bold,,11,Martha NICKELSEN,,,,,
4,748286,1.11,2-0,TES,Mål,1:e,29,Sarah DEKKER,,,,2,Bianca SCHANSSEMA
5,748286,1.33,2-1,KBH,Mål,Gbr,21,Helene KINDBERG,,,,12,Anna KRISTENSEN
6,748286,1.43,3-1,TES,Mål,2:e,22,Line HAUGSTED,,,,2,Bianca SCHANSSEMA
7,748286,2.32,,KBH,Skud reddet,VB,11,Martha NICKELSEN,,,,12,Anna KRISTENSEN
8,748286,2.41,4-1,TES,Mål,2:e,25,Henny REISTAD,,,,2,Bianca SCHANSSEMA
9,748286,3.14,4-2,KBH,Mål,ST,17,Tabea SCHMID,Assist,21,Helene KINDBERG,12,Anna KRISTENSEN
10,748286,4.41,5-2,TES,Mål,PL,25,Henny REISTAD,,,,2,Bianca SCHANSSEMA
11,748286,5.06,,KBH,Fejlaflevering,,21,Helene KINDBERG,,,,,
12,748286,5.17,,TES,Skud på stolpe,2:e,22,Line HAUGSTED,,,,2,Bianca SCHANSSEMA
13,748286,5.58,5-3,KBH,Mål,Gbr,11,Martha NICKELSEN,,,,12,Anna KRISTENSEN
14,748286,6.13,,TES,Skud på stolpe,ST,28,Merel FREDRIKS,,,,2,Bianca SCHANSSEMA
15,748286,6.40,5-4,KBH,Mål,Gbr,21,Helene KINDBERG,,,,12,Anna KRISTENSEN
16,748286,6.55,,TES,Skud på stolpe,HF,29,Sarah DEKKER,Retur,0,,2,Bianca SCHANSSEMA
17,748286,7.35,,TES,Regelfejl,,4,Michala MØLLER,,,,,
18,748286,7.41,,KBH,Fejlaflevering,,2,Bianca SCHANSSEMA,,,,,
19,748286,7.44,6-4,TES,Mål,2:e,4,Michala MØLLER,Assist,25,Henny REISTAD,2,Bianca SCHANSSEMA
20,748286,8.17,,KBH,Tilkendt straffe,,21,Helene KINDBERG,Forårs. str.,17,Elin HANSSON,,
21,748286,8.35,6-5,KBH,Mål på straffe,,17,Tabea SCHMID,,,,12,Anna KRISTENSEN
22,748286,9.29,7-5,TES,Mål,VF,17,Elin HANSSON,Assist,4,Michala MØLLER,2,Bianca SCHANSSEMA
23,748286,10.07,,KBH,Fejlaflevering,,15,Emma NAVNE,,,,,
24,748286,10.10,,TES,Skud reddet,1:e,25,Henny REISTAD,,,,2,Bianca SCHANSSEMA
25,748286,10.40,,TES,Advarsel,,25,Henny REISTAD,,,,,
26,748286,10.53,7-6,KBH,Mål,Gbr,21,Helene KINDBERG,,,,12,Anna KRISTENSEN
27,748286,11.39,8-6,TES,Mål,Gbr,8,Live RUSHFELDT DEILA,,,,2,Bianca SCHANSSEMA
28,748286,12.06,8-7,KBH,Mål,HF,9,Ditte BACH,Assist,21,Helene KINDBERG,12,Anna KRISTENSEN
29,748286,12.41,,TES,Fejlaflevering,,4,Michala MØLLER,,,,,
30,748286,12.50,8-8,KBH,Mål,2:e,7,Emilie YTTING,Assist,25,Tonje LØSETH,12,Anna KRISTENSEN
