id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748290,0.00,,,Start 1:e halvleg,,,,,,,,
2,748290,0.33,,SVK,Skud reddet,HB,4,Maria HOLM,,,,24,Josephine NORDSTRØM
3,748290,1.11,,BFH,Skud reddet,ST,18,Sidsel POULSEN,,,,22,Stine BONDE
4,748290,1.17,1-0,SVK,Mål,2:e,15,Karen KLOKKER,Assist,6,Thea RASMUSSEN,24,Josephine NORDSTRØM
5,748290,1.55,1-1,BFH,Mål,VB,7,Line GYLDENLØVE,,,,22,Stine BONDE
6,748290,2.25,,SVK,Skud blokeret,PL,31,Andrea West BENDTSEN,Blok af (ret),19,Rikke Dahl NIELSEN,,
7,748290,2.44,,SVK,Skud forbi,PL,6,Thea RASMUSSEN,,,,24,Josephine NORDSTRØM
8,748290,3.37,1-2,BFH,Mål,Gbr,11,Arlinda HAJDARI,,,,22,Stine BONDE
9,748290,4.22,,BFH,Advarsel,,19,Rikke Dahl NIELSEN,,,,,
10,748290,4.38,2-2,SVK,Mål,ST,15,Karen KLOKKER,Assist,31,Andrea West BENDTSEN,24,Josephine NORDSTRØM
11,748290,4.48,,BFH,Skud reddet,2:e,7,Line GYLDENLØVE,,,,22,Stine BONDE
12,748290,5.20,,SVK,Skud reddet,Gbr,31,Andrea West BENDTSEN,,,,24,Josephine NORDSTRØM
13,748290,5.26,,BFH,Regelfejl,,31,Marianne HAUGSTED,,,,,
14,748290,5.43,,SVK,Fejlaflevering,,31,Andrea West BENDTSEN,Bold erobret,11,Arlinda HAJDARI,,
15,748290,5.48,,BFH,Skud reddet,1:e,11,Arlinda HAJDARI,,,,22,Stine BONDE
16,748290,5.55,,SVK,Tilkendt straffe,,15,Karen KLOKKER,Forårs. str.,11,Arlinda HAJDARI,,
17,748290,5.55,,BFH,Udvisning,,11,Arlinda HAJDARI,,,,,
18,748290,5.59,,SVK,Straffekast reddet,,21,Maja EDLING,,,,24,Josephine NORDSTRØM
19,748290,6.44,,BFH,Skud reddet,HB,31,Marianne HAUGSTED,,,,22,Stine BONDE
20,748290,7.07,3-2,SVK,Mål,Gbr,6,Thea RASMUSSEN,,,,24,Josephine NORDSTRØM
21,748290,7.59,,BFH,Skud reddet,HF,44,Louise HALD,,,,22,Stine BONDE
22,748290,8.39,,SVK,Skud blokeret,PL,6,Thea RASMUSSEN,Blokeret af,18,Sidsel POULSEN,,
23,748290,9.16,,BFH,Tabt bold,,11,Arlinda HAJDARI,Bold erobret,7,Maja Munch LAURSEN,,
24,748290,9.25,4-2,SVK,Mål,1:e,7,Maja Munch LAURSEN,,,,,
25,748290,9.58,4-3,BFH,Mål,Gbr,11,Arlinda HAJDARI,,,,22,Stine BONDE
26,748290,10.47,,SVK,Skud reddet,ST,15,Karen KLOKKER,,,,20,Clara BAK
27,748290,10.57,,BFH,Fejlaflevering,,72,Line FRANDSEN,,,,,
28,748290,11.29,5-3,SVK,Mål,HF,23,Thilde FRANDSEN,Assist,4,Maria HOLM,20,Clara BAK
29,748290,12.25,,SVK,Advarsel,,31,Andrea West BENDTSEN,,,,,
30,748290,12.39,,BFH,Skud blokeret,VB,7,Line GYLDENLØVE,Blokeret af,4,Maria HOLM,,
31,748290,13.22,,SVK,Skud reddet,Gbr,27,Marigona HAJDARI,,,,24,Josephine NORDSTRØM
32,748290,14.00,,BFH,Tilkendt straffe,,72,Line FRANDSEN,Forårs. str.,31,Andrea West BENDTSEN,,
33,748290,14.17,,BFH,Straffekast på stolpe,,7,Line GYLDENLØVE,,,,22,Stine BONDE
34,748290,14.26,,SVK,Fejlaflevering,,4,Maria HOLM,,,,,
35,748290,15.03,5-4,BFH,Mål,Gbr,72,Line FRANDSEN,,,,22,Stine BONDE
36,748290,15.47,,SVK,Fejlaflevering,,27,Marigona HAJDARI,Bold erobret,18,Sidsel POULSEN,,
37,748290,15.52,5-5,BFH,Mål,1:e,19,Rikke Dahl NIELSEN,Assist,31,Marianne HAUGSTED,22,Stine BONDE
38,748290,15.59,,SVK,Time out,,,,,,,,
39,748290,16.41,6-5,SVK,Mål,VB,6,Thea RASMUSSEN,,,,24,Josephine NORDSTRØM
40,748290,17.12,,BFH,Skud blokeret,VB,25,Laura JENSEN,Blok af (ret),4,Maria HOLM,,
41,748290,18.00,,BFH,Skud blokeret,PL,11,Arlinda HAJDARI,Blok af (ret),15,Karen KLOKKER,,
42,748290,18.30,,SVK,Udvisning,,23,Thilde FRANDSEN,,,,,
43,748290,18.52,,BFH,Skud på stolpe,VF,9,Mathilde PIIL,,,,22,Stine BONDE
44,748290,19.40,7-5,SVK,Mål,HB,4,Maria HOLM,,,,24,Josephine NORDSTRØM
45,748290,19.48,,BFH,Skud forbi,1:e,18,Sidsel POULSEN,,,,22,Stine BONDE
46,748290,20.21,,SVK,Regelfejl,,4,Maria HOLM,,,,,
47,748290,20.28,7-6,BFH,Mål,1:e,18,Sidsel POULSEN,Assist,19,Rikke Dahl NIELSEN,22,Stine BONDE
48,748290,21.40,8-6,SVK,Mål,PL,11,Sara MADSEN,,,,24,Josephine NORDSTRØM
49,748290,22.35,,BFH,Time out,,,,,,,,
50,748290,22.48,8-7,BFH,Mål,Gbr,11,Arlinda HAJDARI,,,,22,Stine BONDE
51,748290,22.57,,BFH,Udvisning,,11,Arlinda HAJDARI,,,,,
52,748290,23.10,9-7,SVK,Mål,VF,7,Maja Munch LAURSEN,Assist,6,Thea RASMUSSEN,24,Josephine NORDSTRØM
53,748290,24.01,,BFH,Skud reddet,PL,25,Laura JENSEN,,,,22,Stine BONDE
54,748290,24.43,,SVK,Skud reddet,ST,13,Mathilde KRISTENSEN,,,,24,Josephine NORDSTRØM
55,748290,25.12,9-8,BFH,Mål,HF,44,Louise HALD,Assist,25,Laura JENSEN,22,Stine BONDE
56,748290,26.07,,SVK,Tilkendt straffe,,6,Thea RASMUSSEN,Forårs. str.,19,Rikke Dahl NIELSEN,,
57,748290,26.31,10-8,SVK,Mål på straffe,,21,Maja EDLING,,,,24,Josephine NORDSTRØM
58,748290,27.12,,BFH,Skud reddet,PL,31,Marianne HAUGSTED,,,,22,Stine BONDE
59,748290,27.19,11-8,SVK,Mål,2:e,4,Maria HOLM,,,,24,Josephine NORDSTRØM
60,748290,28.05,,BFH,Skud på stolpe,PL,31,Marianne HAUGSTED,,,,22,Stine BONDE
