id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748291,0.00,,,Start 1:e halvleg,,,,,,,,
2,748291,0.34,,AHB,Skud blokeret,PL,17,Line Berggren LARSEN,Blokeret af,21,Ingvild BAKKERUD,,
3,748291,1.16,,IKA,Skud reddet,Gbr,7,Stine SKOGRAND,,,,1,Elin THORSTEINSDOTTIR
4,748291,1.29,1-0,AHB,Mål,ST,3,Sarah Vest KIRKELØKKE,Assist,17,Line Berggren LARSEN,12,Filippa IDÉHN
5,748291,1.38,1-1,IKA,Mål,2:e,77,Line Mai HOUGAARD,Assist,21,Ingvild BAKKERUD,1,Elin THORSTEINSDOTTIR
6,748291,2.29,,AHB,Skud blokeret,PL,17,Line Berggren LARSEN,Blokeret af,18,Maria LYKKEGAARD,,
7,748291,3.13,,IKA,Tilkendt straffe,,8,Jamina ROBERTS,Forårs. str.,17,Line Berggren LARSEN,,
8,748291,3.34,1-2,IKA,Mål på straffe,,7,Stine SKOGRAND,,,,1,Elin THORSTEINSDOTTIR
9,748291,4.15,,AHB,Tabt bold,,17,Line Berggren LARSEN,,,,,
10,748291,4.19,,IKA,Skud reddet,1:e,77,Line Mai HOUGAARD,,,,1,Elin THORSTEINSDOTTIR
11,748291,4.52,2-2,AHB,Mål,ST,3,Sarah Vest KIRKELØKKE,Assist,15,Sofia DEEN,12,Filippa IDÉHN
12,748291,5.24,,IKA,Fejlaflevering,,7,Stine SKOGRAND,,,,,
13,748291,6.34,,AHB,Skud reddet,PL,15,Sofia DEEN,,,,12,Filippa IDÉHN
14,748291,6.48,,IKA,Skud reddet,Gbr,14,Emma LINDQVIST,,,,1,Elin THORSTEINSDOTTIR
15,748291,6.56,,AHB,Fejlaflevering,,14,Anna Berger WIERZBA,Bold erobret,18,Maria LYKKEGAARD,,
16,748291,7.10,2-3,IKA,Mål,1:e,7,Stine SKOGRAND,Assist,14,Emma LINDQVIST,1,Elin THORSTEINSDOTTIR
17,748291,7.53,3-3,AHB,Mål,VB,14,Anna Berger WIERZBA,,,,12,Filippa IDÉHN
18,748291,8.02,3-4,IKA,Mål,2:e,2,Matilde KONDRUP NIELSEN,Assist,8,Jamina ROBERTS,1,Elin THORSTEINSDOTTIR
19,748291,8.53,4-4,AHB,Mål,ST,3,Sarah Vest KIRKELØKKE,Assist,15,Sofia DEEN,12,Filippa IDÉHN
20,748291,9.39,,IKA,Skud blokeret,PL,7,Stine SKOGRAND,Blok af (ret),4,Katrine JACOBSEN,,
21,748291,10.09,,IKA,Skud reddet,ST,18,Maria LYKKEGAARD,,,,1,Elin THORSTEINSDOTTIR
22,748291,10.48,,AHB,Regelfejl,,15,Sofia DEEN,,,,,
23,748291,11.33,4-5,IKA,Mål,Gbr,8,Jamina ROBERTS,,,,1,Elin THORSTEINSDOTTIR
24,748291,11.43,,AHB,Skud reddet,2:e,18,Mathilde ØSTERGAARD,,,,12,Filippa IDÉHN
25,748291,12.10,,IKA,Tilkendt straffe,,7,Stine SKOGRAND,Forårs. str.,4,Katrine JACOBSEN,,
26,748291,12.36,4-6,IKA,Mål på straffe,,7,Stine SKOGRAND,,,,1,Elin THORSTEINSDOTTIR
27,748291,13.01,5-6,AHB,Mål,Gbr,17,Line Berggren LARSEN,Assist,14,Anna Berger WIERZBA,12,Filippa IDÉHN
28,748291,13.12,,IKA,Skud reddet,2:e,77,Line Mai HOUGAARD,,,,1,Elin THORSTEINSDOTTIR
29,748291,13.22,6-6,AHB,Mål,2:e,18,Mathilde ØSTERGAARD,Assist,17,Line Berggren LARSEN,12,Filippa IDÉHN
30,748291,14.08,,IKA,Skud reddet,PL,14,Emma LINDQVIST,,,,1,Elin THORSTEINSDOTTIR
31,748291,14.39,,AHB,Skud forbi,HF,10,Frederikke WAAGE-JENSEN,,,,12,Filippa IDÉHN
32,748291,14.51,6-7,IKA,Mål,2:e,18,Maria LYKKEGAARD,Assist,21,Ingvild BAKKERUD,1,Elin THORSTEINSDOTTIR
33,748291,15.16,,AHB,Tilkendt straffe,,14,Anna Berger WIERZBA,Forårs. str.,18,Maria LYKKEGAARD,,
34,748291,15.31,7-7,AHB,Mål på straffe,,15,Sofia DEEN,,,,12,Filippa IDÉHN
35,748291,16.00,7-8,IKA,Mål,Gbr,8,Jamina ROBERTS,,,,1,Elin THORSTEINSDOTTIR
36,748291,16.09,8-8,AHB,Mål,2:e,3,Sarah Vest KIRKELØKKE,Assist,17,Line Berggren LARSEN,12,Filippa IDÉHN
37,748291,16.19,,IKA,Regelfejl,,18,Maria LYKKEGAARD,,,,,
38,748291,16.31,9-8,AHB,Mål,2:e,17,Line Berggren LARSEN,,,,12,Filippa IDÉHN
39,748291,16.43,9-9,IKA,Mål,2:e,7,Stine SKOGRAND,,,,1,Elin THORSTEINSDOTTIR
40,748291,17.48,,AHB,Skud blokeret,PL,14,Anna Berger WIERZBA,Blokeret af,21,Ingvild BAKKERUD,,
41,748291,18.04,,IKA,Fejlaflevering,,21,Ingvild BAKKERUD,Bold erobret,17,Line Berggren LARSEN,,
42,748291,18.09,,AHB,Tilkendt straffe,,3,Sarah Vest KIRKELØKKE,Forårs. str.,21,Ingvild BAKKERUD,,
43,748291,18.30,10-9,AHB,Mål på straffe,,15,Sofia DEEN,,,,12,Filippa IDÉHN
44,748291,18.59,,IKA,Fejlaflevering,,8,Jamina ROBERTS,,,,,
45,748291,19.42,,AHB,Fejlaflevering,,14,Anna Berger WIERZBA,Bold erobret,18,Maria LYKKEGAARD,,
46,748291,20.22,,IKA,Time out,,,,,,,,
