id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748293,0.00,,,Start 1:e halvleg,,,,,,,,
2,748293,0.46,0-1,TES,Mål,Gbr,22,Line HAUGSTED,Assist,25,Henny REISTAD,88,Rakul WARDUM
3,748293,1.43,,RIN,Passivt spil,,0,,,,,,
4,748293,2.24,0-2,TES,Mål,Gbr,22,Line HAUGSTED,Assist,25,Henny REISTAD,88,Rakul WARDUM
5,748293,2.58,1-2,RIN,Mål,VF,18,Emilie ROSBORG,Assist,15,Jane MEJLVANG,16,Amalie MILLING
6,748293,3.12,1-3,TES,Mål,PL,22,Line HAUGSTED,,,,88,Rakul WARDUM
7,748293,4.04,,RIN,Skud reddet,VF,18,Emilie ROSBORG,,,,16,Amalie MILLING
8,748293,4.20,1-4,TES,Mål,HF,29,Sarah DEKKER,Assist,18,Mette TRANBORG,88,Rakul WARDUM
9,748293,5.04,2-4,RIN,Mål,Gbr,20,Stine Opstrup KRISTENSEN,,,,16,Amalie MILLING
10,748293,5.42,2-5,TES,Mål,Gbr,22,Line HAUGSTED,Assist,25,Henny REISTAD,88,Rakul WARDUM
11,748293,6.29,,RIN,Skud forbi,PL,3,Maria Berger WIERZBA,,,,16,Amalie MILLING
12,748293,7.10,,TES,Skud forbi,Gbr,8,Live RUSHFELDT DEILA,,,,88,Rakul WARDUM
13,748293,7.44,,RIN,Fejlaflevering,,3,Maria Berger WIERZBA,Bold erobret,29,Sarah DEKKER,,
14,748293,7.49,2-6,TES,Mål,1:e,29,Sarah DEKKER,,,,0,
15,748293,8.26,3-6,RIN,Mål,VF,18,Emilie ROSBORG,Assist,15,Jane MEJLVANG,13,Sara WINDE
16,748293,8.39,,TES,Tabt bold,,22,Line HAUGSTED,,,,,
17,748293,9.11,,TES,Udvisning,,24,Sanna SOLBERG,,,,,
18,748293,9.21,,RIN,Skud reddet,Gbr,15,Jane MEJLVANG,Retur,0,,16,Amalie MILLING
19,748293,9.58,,RIN,Skud reddet,VF,18,Emilie ROSBORG,,,,16,Amalie MILLING
20,748293,10.29,,TES,Tilkendt straffe,,25,Henny REISTAD,Forårs. str.,3,Maria Berger WIERZBA,,
21,748293,10.37,3-7,TES,Mål på straffe,,4,Michala MØLLER,,,,88,Rakul WARDUM
22,748293,10.57,4-7,RIN,Mål,VF,18,Emilie ROSBORG,Assist,15,Jane MEJLVANG,16,Amalie MILLING
23,748293,10.57,,TES,Udvisning,,3,Kaja Kamp NIELSEN,,,,,
24,748293,11.36,4-8,TES,Mål,Gbr,25,Henny REISTAD,,,,88,Rakul WARDUM
25,748293,11.55,5-8,RIN,Mål,Gbr,20,Stine Opstrup KRISTENSEN,Assist,3,Maria Berger WIERZBA,16,Amalie MILLING
26,748293,12.27,5-9,TES,Mål,Gbr,8,Live RUSHFELDT DEILA,,,,88,Rakul WARDUM
27,748293,12.37,6-9,RIN,Mål,2:e,23,Nanna HINNERFELDT,,,,0,
28,748293,13.29,,RIN,Advarsel,,5,Caroline SVARRE,,,,,
29,748293,13.54,6-10,TES,Mål,VB,25,Henny REISTAD,,,,88,Rakul WARDUM
30,748293,14.22,7-10,RIN,Mål,Gbr,15,Jane MEJLVANG,Assist,3,Maria Berger WIERZBA,16,Amalie MILLING
31,748293,15.00,,TES,Tilkendt straffe,,38,Mia EMMENEGGER,Forårs. str.,18,Emilie ROSBORG,,
32,748293,15.24,,TES,Straffekast reddet,,4,Michala MØLLER,,,,88,Rakul WARDUM
33,748293,15.53,8-10,RIN,Mål,Gbr,20,Stine Opstrup KRISTENSEN,,,,16,Amalie MILLING
34,748293,16.33,,TES,Skud forbi,Gbr,4,Michala MØLLER,,,,16,Stephanie ANDERSEN
35,748293,16.56,9-10,RIN,Mål,Gbr,3,Maria Berger WIERZBA,Assist,15,Jane MEJLVANG,16,Amalie MILLING
36,748293,17.26,9-11,TES,Mål,Gbr,25,Henny REISTAD,,,,16,Stephanie ANDERSEN
37,748293,18.14,10-11,RIN,Mål,PL,3,Maria Berger WIERZBA,,,,16,Amalie MILLING
38,748293,18.27,,TES,Tilkendt straffe,,25,Henny REISTAD,Forårs. str.,23,Nanna HINNERFELDT,,
39,748293,18.35,10-12,TES,Mål på straffe,,25,Henny REISTAD,,,,88,Rakul WARDUM
40,748293,19.01,,RIN,Tabt bold,,23,Nanna HINNERFELDT,,,,,
41,748293,19.06,10-13,TES,Mål,1:e,25,Henny REISTAD,,,,0,
