id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748294,0.00,,,Start 1:e halvleg,,,,,,,,
2,748294,0.46,,ODE,Tilkendt straffe,,10,Anna GRUNDTVIG,Forårs. str.,22,Anne-Sofie FILTENBORG,,
3,748294,1.05,1-0,ODE,Mål på straffe,,22,Ragnhild DAHL,,,,1,Isabella MATHORNE
4,748294,1.55,,SKB,Regelfejl,,3,Clara BANG,,,,,
5,748294,1.57,2-0,ODE,Mål,1:e,10,Anna GRUNDTVIG,Assist,22,Ragnhild DAHL,1,Isabella MATHORNE
6,748294,2.08,,SKB,Regelfejl,,2,Boline LAURSEN,,,,,
7,748294,2.51,3-0,ODE,Mål,PL,22,Ragnhild DAHL,,,,1,Isabella MATHORNE
8,748294,3.02,,SKB,Skud reddet,2:e,20,Suna HANSEN,,,,38,Yara TEN HOLTE
9,748294,3.16,,ODE,Fejlaflevering,,68,Helena ELVER,,,,,
10,748294,3.59,,ODE,Udvisning,,20,Lysa DEFO,,,,,
11,748294,4.12,,SKB,Skud på stolpe,PL,11,Mia LAGUMDZIJA,Retur,0,,38,Yara TEN HOLTE
12,748294,4.33,,SKB,Skud reddet,VF,25,Astrid LYNNERUP,,,,38,Yara TEN HOLTE
13,748294,5.09,4-0,ODE,Mål,HB,27,Louise BURGAARD,,,,1,Isabella MATHORNE
14,748294,5.17,4-1,SKB,Mål,2:e,25,Astrid LYNNERUP,Assist,14,Verona REXHEPI,38,Yara TEN HOLTE
15,748294,5.49,5-1,ODE,Mål,HB,68,Helena ELVER,,,,1,Isabella MATHORNE
16,748294,6.20,5-2,SKB,Mål,PL,14,Verona REXHEPI,,,,38,Yara TEN HOLTE
17,748294,6.34,6-2,ODE,Mål,ST,20,Lysa DEFO,Assist,68,Helena ELVER,1,Isabella MATHORNE
18,748294,7.41,,SKB,Skud på stolpe,ST,2,Boline LAURSEN,,,,38,Yara TEN HOLTE
19,748294,8.16,,ODE,Skud på stolpe,ST,20,Lysa DEFO,,,,1,Isabella MATHORNE
20,748294,8.48,,SKB,Skud forbi,PL,3,Clara BANG,,,,38,Yara TEN HOLTE
21,748294,8.56,7-2,ODE,Mål,1:e,44,Nikita Van Der VLIET,Assist,38,Yara TEN HOLTE,1,Isabella MATHORNE
22,748294,9.38,,SKB,Tabt bold,,2,Boline LAURSEN,Bold erobret,22,Ragnhild DAHL,,
23,748294,9.45,8-2,ODE,Mål,1:e,10,Anna GRUNDTVIG,Assist,27,Louise BURGAARD,1,Isabella MATHORNE
24,748294,9.46,,SKB,Time out,,,,,,,,
25,748294,10.21,8-3,SKB,Mål,Gbr,3,Clara BANG,,,,38,Yara TEN HOLTE
26,748294,10.36,,ODE,Skud reddet,HF,6,Malin AUNE,,,,1,Isabella MATHORNE
27,748294,11.24,,SKB,Tabt bold,,3,Clara BANG,Bold erobret,20,Lysa DEFO,,
28,748294,11.34,9-3,ODE,Mål,1:e,27,Louise BURGAARD,Assist,20,Lysa DEFO,1,Isabella MATHORNE
29,748294,12.08,,SKB,Fejlaflevering,,14,Verona REXHEPI,Bold erobret,6,Malin AUNE,,
30,748294,12.14,,ODE,Regelfejl,,44,Nikita Van Der VLIET,,,,,
31,748294,12.51,,SKB,Skud reddet,Gbr,14,Verona REXHEPI,,,,38,Yara TEN HOLTE
32,748294,12.59,,ODE,Regelfejl,,6,Malin AUNE,,,,,
33,748294,13.38,,SKB,Passivt spil,,0,,,,,,
34,748294,13.53,,ODE,Skud reddet,VF,10,Anna GRUNDTVIG,Retur,0,,1,Isabella MATHORNE
