id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748295,0.00,,,Start 1:e halvleg,,,,,,,,
2,748295,0.57,,NFH,Regelfejl,,7,Amalie WULFF,,,,,
3,748295,1.05,0-1,HHE,Mål,2:e,21,Romee MAARSCHALKEWEERD,Assist,39,Melanie BAK,1,Sofie BÖRJESSON
4,748295,1.34,,NFH,Skud reddet,PL,6,Moa HÖGDAHL,,,,1,Mathilde BISGAARD
5,748295,2.13,,HHE,Fejlaflevering,,7,Maria Palsdottir NÓLSOY,,,,,
6,748295,2.21,1-1,NFH,Mål,2:e,26,Mona OBAIDLI,,,,1,Mathilde BISGAARD
7,748295,3.09,1-2,HHE,Mål,Gbr,39,Melanie BAK,,,,1,Sofie BÖRJESSON
8,748295,4.20,2-2,NFH,Mål,Gbr,6,Moa HÖGDAHL,Assist,7,Amalie WULFF,1,Mathilde BISGAARD
9,748295,5.24,,HHE,Skud reddet,PL,14,Mai KRAGBALLE,,,,1,Sofie BÖRJESSON
10,748295,5.30,3-2,NFH,Mål,1:e,11,Rosa SCHMIDT,Assist,26,Mona OBAIDLI,1,Mathilde BISGAARD
11,748295,6.10,,HHE,Fejlaflevering,,39,Melanie BAK,Bold erobret,49,Aimée VON PEREIRA,,
12,748295,6.50,,NFH,Tabt bold,,2,Caroline AAR,,,,,
13,748295,7.39,3-3,HHE,Mål,HF,22,Sille Cecilie SORTH,Assist,39,Melanie BAK,1,Sofie BÖRJESSON
14,748295,8.17,4-3,NFH,Mål,HF,11,Rosa SCHMIDT,Assist,7,Amalie WULFF,1,Mathilde BISGAARD
15,748295,9.15,,HHE,Skud på stolpe,PL,14,Mai KRAGBALLE,Retur,0,,1,Sofie BÖRJESSON
16,748295,9.19,4-4,HHE,Mål,Gbr,14,Mai KRAGBALLE,,,,1,Sofie BÖRJESSON
17,748295,10.30,,NFH,Skud forbi,PL,26,Mona OBAIDLI,,,,1,Mathilde BISGAARD
18,748295,10.37,4-5,HHE,Mål,2:e,21,Romee MAARSCHALKEWEERD,Assist,14,Mai KRAGBALLE,1,Sofie BÖRJESSON
19,748295,11.14,5-5,NFH,Mål,VF,21,Matilde VESTERGAARD,Assist,26,Mona OBAIDLI,1,Mathilde BISGAARD
20,748295,11.39,5-6,HHE,Mål,HF,22,Sille Cecilie SORTH,Assist,3,Alma SKRETTING,1,Sofie BÖRJESSON
21,748295,12.24,6-6,NFH,Mål,Gbr,6,Moa HÖGDAHL,,,,1,Mathilde BISGAARD
22,748295,12.35,,HHE,Regelfejl,,39,Melanie BAK,,,,,
23,748295,12.41,,NFH,Fejlaflevering,,6,Moa HÖGDAHL,,,,,
24,748295,12.51,,HHE,Skud reddet,2:e,39,Melanie BAK,,,,1,Sofie BÖRJESSON
25,748295,13.32,,HHE,Advarsel,,3,Alma SKRETTING,,,,,
26,748295,13.40,7-6,NFH,Mål,HF,11,Rosa SCHMIDT,Assist,7,Amalie WULFF,1,Mathilde BISGAARD
27,748295,14.39,,HHE,Tilkendt straffe,,3,Alma SKRETTING,Forårs. str.,49,Aimée VON PEREIRA,,
28,748295,14.48,7-7,HHE,Mål på straffe,,14,Mai KRAGBALLE,,,,1,Sofie BÖRJESSON
29,748295,15.26,,NFH,Regelfejl,,6,Moa HÖGDAHL,,,,,
30,748295,15.59,,HHE,Skud reddet,PL,14,Mai KRAGBALLE,Retur,0,,1,Sofie BÖRJESSON
31,748295,16.27,,HHE,Skud på stolpe,Gbr,14,Mai KRAGBALLE,,,,1,Sofie BÖRJESSON
32,748295,16.37,8-7,NFH,Mål,Gbr,6,Moa HÖGDAHL,Assist,26,Mona OBAIDLI,1,Mathilde BISGAARD
33,748295,17.14,8-8,HHE,Mål,PL,11,Fanny ELOVSSON,,,,1,Sofie BÖRJESSON
34,748295,18.13,,NFH,Fejlaflevering,,21,Matilde VESTERGAARD,,,,,
35,748295,18.17,8-9,HHE,Mål,2:e,33,Laura Holm ANDERSEN,Assist,14,Mai KRAGBALLE,1,Sofie BÖRJESSON
36,748295,18.33,,NFH,Skud reddet,HF,11,Rosa SCHMIDT,,,,1,Mathilde BISGAARD
37,748295,19.14,,HHE,Skud blokeret,PL,11,Fanny ELOVSSON,Blokeret af,49,Aimée VON PEREIRA,,
38,748295,19.24,,NFH,Skud reddet,2:e,26,Mona OBAIDLI,Retur,0,,1,Mathilde BISGAARD
39,748295,20.11,,NFH,Regelfejl,,6,Moa HÖGDAHL,,,,,
40,748295,20.54,,HHE,Skud på stolpe,ST,21,Romee MAARSCHALKEWEERD,,,,1,Sofie BÖRJESSON
41,748295,21.08,,NFH,Tilkendt straffe,,26,Mona OBAIDLI,Forårs. str.,21,Romee MAARSCHALKEWEERD,,
42,748295,21.08,,HHE,Udvisning,,21,Romee MAARSCHALKEWEERD,,,,,
43,748295,21.12,9-9,NFH,Mål på straffe,,34,Sofie BARDRUM,,,,1,Mathilde BISGAARD
44,748295,21.48,,NFH,Udvisning,,49,Aimée VON PEREIRA,,,,,
45,748295,22.02,,HHE,Skud reddet,HF,22,Sille Cecilie SORTH,,,,1,Sofie BÖRJESSON
46,748295,22.26,10-9,NFH,Mål,ST,34,Sofie BARDRUM,Assist,79,Kristina KRISTIANSEN,1,Mathilde BISGAARD
47,748295,22.58,,HHE,Tilkendt straffe,,7,Maria Palsdottir NÓLSOY,Forårs. str.,15,Kalidiatou NIAKATE,,
48,748295,23.13,10-10,HHE,Mål på straffe,,14,Mai KRAGBALLE,,,,1,Sofie BÖRJESSON
49,748295,23.48,11-10,NFH,Mål,ST,34,Sofie BARDRUM,Assist,6,Moa HÖGDAHL,1,Mathilde BISGAARD
50,748295,24.27,,HHE,Fejlaflevering,,11,Fanny ELOVSSON,,,,,
51,748295,24.38,,NFH,Regelfejl,,15,Kalidiatou NIAKATE,,,,,
52,748295,24.55,,HHE,Time out,,,,,,,,
53,748295,25.24,11-11,HHE,Mål,Gbr,11,Fanny ELOVSSON,,,,1,Sofie BÖRJESSON
54,748295,25.42,,NFH,Advarsel,B,,Kasper JENSEN,,,,,
55,748295,26.05,,NFH,Regelfejl,,15,Kalidiatou NIAKATE,,,,,
56,748295,26.10,11-12,HHE,Mål,2:e,11,Fanny ELOVSSON,,,,1,Sofie BÖRJESSON
57,748295,26.31,,NFH,Time out,,,,,,,,
58,748295,26.46,,NFH,Skud reddet,VB,15,Kalidiatou NIAKATE,,,,1,Mathilde BISGAARD
59,748295,26.51,11-13,HHE,Mål,2:e,22,Sille Cecilie SORTH,Assist,11,Fanny ELOVSSON,1,Sofie BÖRJESSON
60,748295,27.23,12-13,NFH,Mål,HF,11,Rosa SCHMIDT,Assist,6,Moa HÖGDAHL,1,Mathilde BISGAARD
61,748295,28.00,,HHE,Tabt bold,,19,Frida Haug HOEL,,,,,
62,748295,28.40,,NFH,Skud reddet,PL,15,Kalidiatou NIAKATE,,,,1,Mathilde BISGAARD
63,748295,29.16,,HHE,Skud forbi,Gbr,14,Mai KRAGBALLE,,,,16,Line CHRISTIANSEN
64,748295,29.51,,NFH,Fejlaflevering,,79,Kristina KRISTIANSEN,,,,,
65,748295,29.55,12-14,HHE,Mål,1:e,19,Frida Haug HOEL,Assist,21,Romee MAARSCHALKEWEERD,16,Line CHRISTIANSEN
66,748295,30.00,12-14,,Halvleg,,,,,,,,
67,748295,30.00,,,Start 2:e halvleg,,,,,,,,
68,748295,30.31,12-15,HHE,Mål,Gbr,7,Maria Palsdottir NÓLSOY,,,,16,Line CHRISTIANSEN
69,748295,31.14,,NFH,Fejlaflevering,,26,Mona OBAIDLI,,,,,
70,748295,31.19,12-16,HHE,Mål,1:e,22,Sille Cecilie SORTH,,,,16,Line CHRISTIANSEN
71,748295,31.51,13-16,NFH,Mål,Gbr,26,Mona OBAIDLI,,,,1,Mathilde BISGAARD
72,748295,32.29,,HHE,Fejlaflevering,,7,Maria Palsdottir NÓLSOY,,,,,
73,748295,32.41,14-16,NFH,Mål,Gbr,6,Moa HÖGDAHL,,,,1,Mathilde BISGAARD
74,748295,33.14,,HHE,Regelfejl,,14,Mai KRAGBALLE,,,,,
75,748295,33.53,,HHE,Udvisning,,20,Ditte TOKKESDAL,,,,,
76,748295,34.04,15-16,NFH,Mål,ST,34,Sofie BARDRUM,Assist,79,Kristina KRISTIANSEN,1,Mathilde BISGAARD
77,748295,35.05,,HHE,Fejlaflevering,,39,Melanie BAK,,,,,
78,748295,35.12,,NFH,Skud reddet,ST,2,Caroline AAR,Retur,0,,1,Mathilde BISGAARD
79,748295,35.33,16-16,NFH,Mål,HF,11,Rosa SCHMIDT,Assist,26,Mona OBAIDLI,1,Mathilde BISGAARD
80,748295,36.30,16-17,HHE,Mål,VF,33,Laura Holm ANDERSEN,Assist,7,Maria Palsdottir NÓLSOY,16,Line CHRISTIANSEN
81,748295,37.09,,NFH,Skud forbi,PL,6,Moa HÖGDAHL,,,,1,Mathilde BISGAARD
82,748295,37.41,,HHE,Fejlaflevering,,39,Melanie BAK,,,,,
83,748295,37.48,,NFH,Fejlaflevering,,6,Moa HÖGDAHL,,,,,
84,748295,37.53,16-18,HHE,Mål,1:e,33,Laura Holm ANDERSEN,Assist,39,Melanie BAK,16,Line CHRISTIANSEN
85,748295,38.24,,NFH,Tilkendt straffe,,26,Mona OBAIDLI,Forårs. str.,11,Fanny ELOVSSON,,
86,748295,38.50,17-18,NFH,Mål på straffe,,34,Sofie BARDRUM,,,,1,Mathilde BISGAARD
87,748295,39.25,17-19,HHE,Mål,Gbr,39,Melanie BAK,,,,16,Line CHRISTIANSEN
88,748295,39.37,,NFH,Skud reddet,2:e,21,Matilde VESTERGAARD,,,,1,Mathilde BISGAARD
89,748295,40.11,17-20,HHE,Mål,HF,22,Sille Cecilie SORTH,Assist,39,Melanie BAK,16,Line CHRISTIANSEN
90,748295,40.29,18-20,NFH,Mål,HF,11,Rosa SCHMIDT,Assist,6,Moa HÖGDAHL,1,Mathilde BISGAARD
91,748295,41.07,,HHE,Fejlaflevering,,39,Melanie BAK,,,,,
92,748295,41.10,19-20,NFH,Mål,1:e,21,Matilde VESTERGAARD,Assist,6,Moa HÖGDAHL,1,Mathilde BISGAARD
93,748295,41.51,,HHE,Regelfejl,,39,Melanie BAK,,,,,
94,748295,42.29,20-20,NFH,Mål,PL,26,Mona OBAIDLI,,,,1,Mathilde BISGAARD
95,748295,42.43,,HHE,Skud reddet,Gbr,7,Maria Palsdottir NÓLSOY,,,,1,Sofie BÖRJESSON
96,748295,43.14,,NFH,Regelfejl,,79,Kristina KRISTIANSEN,,,,,
97,748295,43.51,20-21,HHE,Mål,HF,22,Sille Cecilie SORTH,Assist,7,Maria Palsdottir NÓLSOY,1,Sofie BÖRJESSON
98,748295,44.07,21-21,NFH,Mål,ST,34,Sofie BARDRUM,Assist,79,Kristina KRISTIANSEN,1,Mathilde BISGAARD
