id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748297,0.00,,,Start 1:e halvleg,,,,,,,,
2,748297,0.42,0-1,AHB,Mål,PL,17,Line Berggren LARSEN,,,,24,Josephine NORDSTRØM
3,748297,1.34,1-1,BFH,Mål,PL,72,Line FRANDSEN,,,,1,Elin THORSTEINSDOTTIR
4,748297,2.48,,AHB,Regelfejl,,10,Frederikke WAAGE-JENSEN,,,,,
5,748297,3.32,2-1,BFH,Mål,VB,25,Laura JENSEN,,,,1,Elin THORSTEINSDOTTIR
6,748297,3.57,,AHB,Skud på stolpe,VF,18,Mathilde ØSTERGAARD,,,,24,Josephine NORDSTRØM
7,748297,4.05,,BFH,Skud reddet,PL,72,Line FRANDSEN,,,,1,Elin THORSTEINSDOTTIR
8,748297,4.16,2-2,AHB,Mål,HF,10,Frederikke WAAGE-JENSEN,Assist,14,Anna Berger WIERZBA,24,Josephine NORDSTRØM
9,748297,4.46,,BFH,Skud reddet,VB,25,Laura JENSEN,,,,1,Elin THORSTEINSDOTTIR
10,748297,5.01,2-3,AHB,Mål,ST,3,Sarah Vest KIRKELØKKE,Assist,14,Anna Berger WIERZBA,24,Josephine NORDSTRØM
11,748297,5.28,,BFH,Regelfejl,,72,Line FRANDSEN,,,,,
12,748297,5.37,2-4,AHB,Mål,2:e,17,Line Berggren LARSEN,,,,24,Josephine NORDSTRØM
13,748297,6.12,3-4,BFH,Mål,VF,4,Emilie BANGSHØI,Assist,72,Line FRANDSEN,1,Elin THORSTEINSDOTTIR
14,748297,6.50,3-5,AHB,Mål,PL,15,Sofia DEEN,,,,24,Josephine NORDSTRØM
15,748297,7.48,,BFH,Skud på stolpe,HB,11,Arlinda HAJDARI,,,,1,Elin THORSTEINSDOTTIR
16,748297,8.39,,AHB,Skud på stolpe,PL,17,Line Berggren LARSEN,,,,24,Josephine NORDSTRØM
17,748297,8.49,4-5,BFH,Mål,2:e,10,Melina KRISTENSEN,Assist,11,Arlinda HAJDARI,1,Elin THORSTEINSDOTTIR
18,748297,9.21,4-6,AHB,Mål,PL,15,Sofia DEEN,,,,24,Josephine NORDSTRØM
19,748297,9.46,5-6,BFH,Mål,ST,18,Sidsel POULSEN,Assist,11,Arlinda HAJDARI,1,Elin THORSTEINSDOTTIR
20,748297,10.02,,AHB,Skud reddet,VB,17,Line Berggren LARSEN,,,,24,Josephine NORDSTRØM
21,748297,11.06,6-6,BFH,Mål,PL,25,Laura JENSEN,,,,1,Elin THORSTEINSDOTTIR
22,748297,11.39,6-7,AHB,Mål,VF,18,Mathilde ØSTERGAARD,Assist,14,Anna Berger WIERZBA,24,Josephine NORDSTRØM
23,748297,12.14,7-7,BFH,Mål,VF,4,Emilie BANGSHØI,Assist,72,Line FRANDSEN,1,Elin THORSTEINSDOTTIR
24,748297,12.53,,AHB,Skud reddet,Gbr,15,Sofia DEEN,,,,24,Josephine NORDSTRØM
25,748297,13.24,,BFH,Skud reddet,ST,10,Melina KRISTENSEN,,,,1,Elin THORSTEINSDOTTIR
26,748297,13.34,,AHB,Skud reddet,VF,18,Mathilde ØSTERGAARD,,,,24,Josephine NORDSTRØM
27,748297,14.11,,BFH,Tilkendt straffe,,72,Line FRANDSEN,Forårs. str.,15,Sofia DEEN,,
28,748297,14.20,,AHB,Advarsel,,15,Sofia DEEN,,,,,
29,748297,14.36,8-7,BFH,Mål på straffe,,7,Line GYLDENLØVE,,,,1,Elin THORSTEINSDOTTIR
30,748297,15.11,8-8,AHB,Mål,VF,18,Mathilde ØSTERGAARD,Assist,15,Sofia DEEN,24,Josephine NORDSTRØM
31,748297,15.41,,BFH,Fejlaflevering,,11,Arlinda HAJDARI,Bold erobret,18,Mathilde ØSTERGAARD,,
32,748297,16.18,8-9,AHB,Mål,Gbr,15,Sofia DEEN,Assist,17,Line Berggren LARSEN,24,Josephine NORDSTRØM
33,748297,16.46,9-9,BFH,Mål,PL,72,Line FRANDSEN,,,,1,Elin THORSTEINSDOTTIR
34,748297,17.33,,BFH,Advarsel,,19,Rikke Dahl NIELSEN,,,,,
35,748297,18.03,,AHB,Passivt spil,,0,,,,,,
36,748297,18.23,,BFH,Skud forbi,VF,4,Emilie BANGSHØI,,,,1,Elin THORSTEINSDOTTIR
37,748297,18.33,9-10,AHB,Mål,2:e,17,Line Berggren LARSEN,,,,24,Josephine NORDSTRØM
38,748297,19.27,,BFH,Skud reddet,VF,4,Emilie BANGSHØI,,,,1,Elin THORSTEINSDOTTIR
39,748297,19.46,9-11,AHB,Mål,ST,4,Katrine JACOBSEN,Assist,17,Line Berggren LARSEN,24,Josephine NORDSTRØM
40,748297,20.19,,BFH,Skud forbi,VB,25,Laura JENSEN,,,,1,Elin THORSTEINSDOTTIR
41,748297,20.33,,AHB,Skud reddet,PL,17,Line Berggren LARSEN,,,,24,Josephine NORDSTRØM
42,748297,20.50,,BFH,Fejlaflevering,,11,Arlinda HAJDARI,Bold erobret,22,Tania Bilde KNUDSEN,,
43,748297,21.29,9-12,AHB,Mål,HF,22,Tania Bilde KNUDSEN,Assist,15,Sofia DEEN,24,Josephine NORDSTRØM
44,748297,21.37,,BFH,Time out,,,,,,,,
45,748297,22.05,10-12,BFH,Mål,Gbr,11,Arlinda HAJDARI,Assist,72,Line FRANDSEN,1,Elin THORSTEINSDOTTIR
46,748297,22.22,,AHB,Regelfejl,,14,Anna Berger WIERZBA,,,,,
47,748297,22.56,,BFH,Fejlaflevering,,72,Line FRANDSEN,Bold erobret,0,,,
48,748297,23.44,10-13,AHB,Mål,VF,18,Mathilde ØSTERGAARD,Assist,17,Line Berggren LARSEN,20,Clara BAK
49,748297,24.09,11-13,BFH,Mål,Gbr,7,Line GYLDENLØVE,Assist,72,Line FRANDSEN,1,Elin THORSTEINSDOTTIR
50,748297,24.38,11-14,AHB,Mål,ST,4,Katrine JACOBSEN,Assist,17,Line Berggren LARSEN,20,Clara BAK
51,748297,25.15,,BFH,Skud reddet,ST,29,Sara LILHOLT,,,,1,Elin THORSTEINSDOTTIR
52,748297,25.50,,AHB,Skud reddet,HF,22,Tania Bilde KNUDSEN,,,,20,Clara BAK
53,748297,26.24,12-14,BFH,Mål,Gbr,72,Line FRANDSEN,,,,1,Elin THORSTEINSDOTTIR
54,748297,26.32,12-15,AHB,Mål,2:e,17,Line Berggren LARSEN,,0,,,
55,748297,26.59,13-15,BFH,Mål,VF,9,Mathilde PIIL,Assist,7,Line GYLDENLØVE,1,Elin THORSTEINSDOTTIR
56,748297,27.20,,BFH,Udvisning,,31,Marianne HAUGSTED,,,,,
57,748297,27.39,,AHB,Skud på stolpe,PL,17,Line Berggren LARSEN,,,,20,Clara BAK
58,748297,28.13,,BFH,Fejlaflevering,,72,Line FRANDSEN,Bold erobret,17,Line Berggren LARSEN,,
59,748297,28.31,,AHB,Time out,,,,,,,,
60,748297,28.48,,AHB,Tilkendt straffe,,18,Mathilde ØSTERGAARD,Forårs. str.,11,Arlinda HAJDARI,,
61,748297,28.54,,BFH,Udvisning,,11,Arlinda HAJDARI,,,,,
62,748297,29.07,13-16,AHB,Mål på straffe,,15,Sofia DEEN,,,,20,Clara BAK
63,748297,29.32,14-16,BFH,Mål,Gbr,72,Line FRANDSEN,,,,1,Elin THORSTEINSDOTTIR
64,748297,29.53,14-17,AHB,Mål,ST,3,Sarah Vest KIRKELØKKE,Assist,17,Line Berggren LARSEN,20,Clara BAK
65,748297,30.00,14-17,,Halvleg,,,,,,,,
66,748297,30.00,,,Start 2:e halvleg,,,,,,,,
67,748297,30.29,15-17,BFH,Mål,VB,31,Marianne HAUGSTED,,,,1,Elin THORSTEINSDOTTIR
68,748297,30.38,15-18,AHB,Mål,2:e,17,Line Berggren LARSEN,,,,24,Josephine NORDSTRØM
69,748297,31.11,16-18,BFH,Mål,HB,7,Line GYLDENLØVE,,,,1,Elin THORSTEINSDOTTIR
70,748297,31.28,,AHB,Skud reddet,HF,22,Tania Bilde KNUDSEN,,,,24,Josephine NORDSTRØM
71,748297,32.05,,BFH,Skud forbi,VB,31,Marianne HAUGSTED,,,,1,Elin THORSTEINSDOTTIR
72,748297,32.20,,AHB,Tabt bold,,17,Line Berggren LARSEN,Bold erobret,19,Rikke Dahl NIELSEN,,
73,748297,32.57,17-18,BFH,Mål,PL,7,Line GYLDENLØVE,,,,1,Elin THORSTEINSDOTTIR
74,748297,33.39,,AHB,Skud reddet,HF,22,Tania Bilde KNUDSEN,,,,24,Josephine NORDSTRØM
75,748297,34.08,,BFH,Skud reddet,VB,31,Marianne HAUGSTED,,,,1,Elin THORSTEINSDOTTIR
76,748297,34.44,17-19,AHB,Mål,VF,18,Mathilde ØSTERGAARD,Assist,17,Line Berggren LARSEN,24,Josephine NORDSTRØM
77,748297,35.31,18-19,BFH,Mål,HF,44,Louise HALD,Assist,7,Line GYLDENLØVE,1,Elin THORSTEINSDOTTIR
78,748297,35.39,18-20,AHB,Mål,ST,3,Sarah Vest KIRKELØKKE,Assist,17,Line Berggren LARSEN,24,Josephine NORDSTRØM
79,748297,36.11,,BFH,Tilkendt straffe,,7,Line GYLDENLØVE,Forårs. str.,3,Sarah Vest KIRKELØKKE,,
80,748297,36.29,19-20,BFH,Mål på straffe,,7,Line GYLDENLØVE,,,,1,Elin THORSTEINSDOTTIR
81,748297,36.42,,AHB,Regelfejl,,3,Sarah Vest KIRKELØKKE,,,,,
82,748297,37.22,20-20,BFH,Mål,PL,7,Line GYLDENLØVE,,,,1,Elin THORSTEINSDOTTIR
83,748297,37.33,20-21,AHB,Mål,2:e,10,Frederikke WAAGE-JENSEN,,,,24,Josephine NORDSTRØM
