id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748300,0.00,,,Start 1:e halvleg,,,,,,,,
2,748300,0.51,,ODE,Fejlaflevering,,33,Thale Rushfeldt DEILA,,,,,
3,748300,0.56,1-0,TES,Mål,1:e,22,Line HAUGSTED,,,,38,Yara TEN HOLTE
4,748300,1.30,1-1,ODE,Mål,PL,68,Helena ELVER,,,,12,Anna KRISTENSEN
5,748300,2.25,,TES,Skud blokeret,PL,25,Henny REISTAD,Blok af (ret),20,Lysa DEFO,,
6,748300,2.40,,TES,Skud forbi,HF,29,Sarah DEKKER,,,,38,Yara TEN HOLTE
7,748300,3.08,1-2,ODE,Mål,Gbr,33,Thale Rushfeldt DEILA,,,,12,Anna KRISTENSEN
8,748300,3.40,2-2,TES,Mål,Gbr,25,Henny REISTAD,,,,38,Yara TEN HOLTE
9,748300,3.51,2-3,ODE,Mål,2:e,68,Helena ELVER,,,,12,Anna KRISTENSEN
10,748300,4.27,3-3,TES,Mål,VF,24,Sanna SOLBERG,Assist,22,Line HAUGSTED,38,Yara TEN HOLTE
11,748300,5.13,3-4,ODE,Mål,VF,10,Anna GRUNDTVIG,Assist,32,Mie HØJLUND,12,Anna KRISTENSEN
12,748300,5.51,,TES,Skud reddet,Gbr,4,Michala MØLLER,,,,38,Yara TEN HOLTE
13,748300,6.01,,ODE,Tilkendt straffe,,32,Mie HØJLUND,Forårs. str.,11,Rikke IVERSEN,,
14,748300,6.24,,ODE,Straffekast forbi,,3,Maren AARDAHL,,,,12,Anna KRISTENSEN
15,748300,6.50,,TES,Fejlaflevering,,22,Line HAUGSTED,,,,,
16,748300,6.56,3-5,ODE,Mål,1:e,6,Malin AUNE,Assist,33,Thale Rushfeldt DEILA,12,Anna KRISTENSEN
17,748300,7.29,4-5,TES,Mål,VF,24,Sanna SOLBERG,Assist,4,Michala MØLLER,38,Yara TEN HOLTE
18,748300,7.38,,ODE,Fejlaflevering,,32,Mie HØJLUND,,,,,
19,748300,7.46,,TES,Skud på stolpe,1:e,24,Sanna SOLBERG,,,,38,Yara TEN HOLTE
20,748300,8.17,4-6,ODE,Mål,PL,68,Helena ELVER,,,,12,Anna KRISTENSEN
21,748300,9.06,,ODE,Advarsel,,20,Lysa DEFO,,,,,
22,748300,9.26,,ODE,Udvisning,,20,Lysa DEFO,,,,,
23,748300,9.45,5-6,TES,Mål,HF,29,Sarah DEKKER,Assist,4,Michala MØLLER,38,Yara TEN HOLTE
24,748300,10.35,5-7,ODE,Mål,HF,6,Malin AUNE,Assist,33,Thale Rushfeldt DEILA,12,Anna KRISTENSEN
25,748300,10.35,,,Video Proof,,0,,,,,,
26,748300,11.26,,,Video Proof slut,,0,,,,,,
27,748300,11.27,,TES,Tilkendt straffe,,29,Sarah DEKKER,Forårs. str.,32,Mie HØJLUND,,
28,748300,11.27,,ODE,Udvisning,,32,Mie HØJLUND,,,,,
29,748300,11.29,6-7,TES,Mål på straffe,,25,Henny REISTAD,,,,38,Yara TEN HOLTE
30,748300,12.22,6-8,ODE,Mål,Gbr,33,Thale Rushfeldt DEILA,,,,12,Anna KRISTENSEN
31,748300,12.47,,TES,Skud forbi,Gbr,4,Michala MØLLER,,,,38,Yara TEN HOLTE
32,748300,13.14,6-9,ODE,Mål,Gbr,33,Thale Rushfeldt DEILA,,,,12,Anna KRISTENSEN
33,748300,13.45,,TES,Regelfejl,,4,Michala MØLLER,,,,,
34,748300,14.17,,ODE,Skud reddet,Gbr,32,Mie HØJLUND,,,,12,Anna KRISTENSEN
35,748300,14.32,,TES,Time out,,,,,,,,
36,748300,14.45,,TES,Skud reddet,PL,25,Henny REISTAD,,,,38,Yara TEN HOLTE
37,748300,15.38,,ODE,Tilkendt straffe,,33,Thale Rushfeldt DEILA,Forårs. str.,4,Michala MØLLER,,
38,748300,16.03,6-10,ODE,Mål på straffe,,34,Andrea HANSEN,,,,12,Anna KRISTENSEN
39,748300,16.41,,TES,Skud reddet,ST,28,Merel FREDRIKS,,,,38,Yara TEN HOLTE
40,748300,16.50,,ODE,Regelfejl,,32,Mie HØJLUND,,,,,
41,748300,17.03,,TES,Skud reddet,2:e,4,Michala MØLLER,,,,38,Yara TEN HOLTE
42,748300,17.46,,ODE,Tilkendt straffe,,33,Thale Rushfeldt DEILA,Forårs. str.,22,Line HAUGSTED,,
43,748300,18.07,6-11,ODE,Mål på straffe,,34,Andrea HANSEN,,,,12,Anna KRISTENSEN
44,748300,18.41,,TES,Fejlaflevering,,8,Live RUSHFELDT DEILA,,,,,
45,748300,19.21,,TES,Udvisning,,28,Merel FREDRIKS,,,,,
46,748300,19.41,6-12,ODE,Mål,Gbr,33,Thale Rushfeldt DEILA,,,,12,Anna KRISTENSEN
