id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748301,0.00,,,Start 1:e halvleg,,,,,,,,
2,748301,0.46,,SJE,Regelfejl,,28,Sarah PAULSEN,,,,,
3,748301,1.18,0-1,RIN,Mål,ST,23,Nanna HINNERFELDT,Assist,3,Maria Berger WIERZBA,26,Nora PERSSON
4,748301,1.28,,SJE,Tilkendt straffe,,8,Karine DAHLUM,Forårs. str.,3,Maria Berger WIERZBA,,
5,748301,1.47,,SJE,Straffekast på stolpe,,7,Melissa PETRÉN,Retur,7,Melissa PETRÉN,16,Stephanie ANDERSEN
6,748301,1.54,,SJE,Skud reddet,ST,7,Melissa PETRÉN,,,,16,Stephanie ANDERSEN
7,748301,2.54,,RIN,Fejlaflevering,,15,Jane MEJLVANG,Bold erobret,28,Sarah PAULSEN,,
8,748301,2.59,,SJE,Fejlaflevering,,28,Sarah PAULSEN,Bold erobret,15,Jane MEJLVANG,,
9,748301,3.03,0-2,RIN,Mål,HF,22,Sofie ØSTERGAARD,Assist,20,Stine Opstrup KRISTENSEN,26,Nora PERSSON
10,748301,3.21,,SJE,Tabt bold,,8,Karine DAHLUM,Bold erobret,19,Rikke JOCHUMSEN,,
11,748301,3.33,0-3,RIN,Mål,2:e,23,Nanna HINNERFELDT,Assist,20,Stine Opstrup KRISTENSEN,26,Nora PERSSON
12,748301,3.46,,RIN,Advarsel,,5,Caroline SVARRE,,,,,
13,748301,4.07,,SJE,Skud forbi,PL,28,Sarah PAULSEN,,,,16,Stephanie ANDERSEN
14,748301,4.25,,RIN,Skud reddet,Gbr,15,Jane MEJLVANG,Retur,23,Nanna HINNERFELDT,26,Nora PERSSON
15,748301,4.47,,RIN,Skud reddet,Gbr,3,Maria Berger WIERZBA,Retur,0,,26,Nora PERSSON
16,748301,5.00,,RIN,Regelfejl,,19,Rikke JOCHUMSEN,,,,,
17,748301,5.07,,SJE,Skud reddet,1:e,6,Lea HANSEN,,,,16,Stephanie ANDERSEN
18,748301,5.39,,RIN,Fejlaflevering,,15,Jane MEJLVANG,Bold erobret,28,Sarah PAULSEN,,
19,748301,5.53,,SJE,Tilkendt straffe,,31,Ida-Marie DAHL,Forårs. str.,23,Nanna HINNERFELDT,,
20,748301,6.11,1-3,SJE,Mål på straffe,,7,Melissa PETRÉN,,,,16,Stephanie ANDERSEN
21,748301,7.08,,RIN,Regelfejl,,20,Stine Opstrup KRISTENSEN,,,,,
22,748301,7.51,,SJE,Fejlaflevering,,7,Melissa PETRÉN,Bold erobret,20,Stine Opstrup KRISTENSEN,,
23,748301,8.03,,RIN,Regelfejl,,20,Stine Opstrup KRISTENSEN,,,,,
24,748301,8.49,,SJE,Skud forbi,HB,8,Karine DAHLUM,,,,16,Stephanie ANDERSEN
25,748301,9.01,,RIN,Tilkendt straffe,,23,Nanna HINNERFELDT,Forårs. str.,8,Karine DAHLUM,,
26,748301,9.17,1-4,RIN,Mål på straffe,,15,Jane MEJLVANG,,,,26,Nora PERSSON
27,748301,9.46,2-4,SJE,Mål,ST,31,Ida-Marie DAHL,Assist,7,Melissa PETRÉN,16,Stephanie ANDERSEN
28,748301,10.29,,SJE,Advarsel,,8,Karine DAHLUM,,,,,
29,748301,10.52,,RIN,Skud reddet,Gbr,20,Stine Opstrup KRISTENSEN,Retur,0,,26,Nora PERSSON
30,748301,11.13,2-5,RIN,Mål,PL,15,Jane MEJLVANG,,,,26,Nora PERSSON
31,748301,12.06,3-5,SJE,Mål,PL,28,Sarah PAULSEN,,,,16,Stephanie ANDERSEN
32,748301,12.40,,RIN,Skud forbi,PL,3,Maria Berger WIERZBA,,,,26,Nora PERSSON
33,748301,13.13,,SJE,Skud reddet,Gbr,8,Karine DAHLUM,,,,16,Stephanie ANDERSEN
34,748301,13.20,3-6,RIN,Mål,1:e,23,Nanna HINNERFELDT,Assist,3,Maria Berger WIERZBA,26,Nora PERSSON
35,748301,13.51,4-6,SJE,Mål,Gbr,7,Melissa PETRÉN,Assist,31,Ida-Marie DAHL,16,Stephanie ANDERSEN
36,748301,14.26,,RIN,Skud reddet,Gbr,10,Frida Høgaard NIELSEN,,,,26,Nora PERSSON
37,748301,14.35,5-6,SJE,Mål,1:e,17,June BØTTGER,Assist,7,Melissa PETRÉN,16,Stephanie ANDERSEN
38,748301,15.42,,RIN,Skud reddet,HB,10,Frida Høgaard NIELSEN,,,,26,Nora PERSSON
39,748301,15.50,6-6,SJE,Mål,2:e,7,Melissa PETRÉN,,,,16,Stephanie ANDERSEN
40,748301,16.26,,RIN,Skud blokeret,PL,15,Jane MEJLVANG,Blokeret af,8,Karine DAHLUM,,
41,748301,16.54,7-6,SJE,Mål,ST,31,Ida-Marie DAHL,Assist,28,Sarah PAULSEN,16,Stephanie ANDERSEN
42,748301,17.08,,RIN,Time out,,,,,,,,
43,748301,17.37,7-7,RIN,Mål,VF,18,Emilie ROSBORG,Assist,3,Maria Berger WIERZBA,26,Nora PERSSON
44,748301,18.02,8-7,SJE,Mål,Gbr,28,Sarah PAULSEN,,,,16,Stephanie ANDERSEN
45,748301,18.45,8-8,RIN,Mål,Gbr,15,Jane MEJLVANG,Assist,3,Maria Berger WIERZBA,26,Nora PERSSON
46,748301,19.58,,SJE,Skud blokeret,VB,7,Melissa PETRÉN,Blokeret af,5,Caroline SVARRE,,
47,748301,20.30,,RIN,Fejlaflevering,,15,Jane MEJLVANG,Bold erobret,0,,,
48,748301,20.39,,SJE,Skud på stolpe,1:e,14,Louise ELLEBÆK,,,,0,
49,748301,21.02,8-9,RIN,Mål,PL,5,Caroline SVARRE,,,,26,Nora PERSSON
50,748301,21.15,9-9,SJE,Mål,2:e,7,Melissa PETRÉN,,,,0,
51,748301,21.38,,RIN,Tilkendt straffe,,22,Sofie ØSTERGAARD,Forårs. str.,17,June BØTTGER,,
52,748301,21.38,,SJE,Udvisning,,17,June BØTTGER,,,,,
53,748301,21.42,9-10,RIN,Mål på straffe,,15,Jane MEJLVANG,,,,26,Nora PERSSON
54,748301,22.18,10-10,SJE,Mål,Gbr,10,Nicoline OLSEN,,,,16,Stephanie ANDERSEN
55,748301,22.28,,RIN,Regelfejl,,18,Emilie ROSBORG,,,,,
56,748301,23.00,,SJE,Skud på stolpe,PL,28,Sarah PAULSEN,,,,16,Stephanie ANDERSEN
57,748301,23.27,,SJE,Udvisning,,15,Sara IBRANOVIC,,,,,
