id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748302,0.00,,,Start 1:e halvleg,,,,,,,,
2,748302,0.46,,HHE,Skud reddet,VF,33,Laura Holm ANDERSEN,,,,1,Annika FRIDHEIM
3,748302,1.29,,EHA,Tilkendt straffe,,4,Cecilie TERMANSEN,Forårs. str.,3,Alma SKRETTING,,
4,748302,1.49,1-0,EHA,Mål på straffe,,30,Clara LERBY,,,,16,Andrea AUSTMO
5,748302,2.30,,HHE,Skud reddet,PL,14,Mai KRAGBALLE,,,,1,Annika FRIDHEIM
6,748302,2.39,,EHA,Skud reddet,2:e,23,Silje BRØNS,,,,16,Andrea AUSTMO
7,748302,3.13,,HHE,Skud reddet,HF,22,Sille Cecilie SORTH,,,,1,Annika FRIDHEIM
8,748302,3.20,,EHA,Skud reddet,2:e,30,Clara LERBY,,,,16,Andrea AUSTMO
9,748302,3.50,1-1,HHE,Mål,VF,33,Laura Holm ANDERSEN,Assist,7,Maria Palsdottir NÓLSOY,1,Annika FRIDHEIM
10,748302,4.38,,EHA,Regelfejl,,21,Frederikke GULMARK,,,,,
11,748302,5.18,,EHA,Advarsel,,21,Frederikke GULMARK,,,,,
12,748302,5.46,,HHE,Regelfejl,,7,Maria Palsdottir NÓLSOY,,,,,
13,748302,5.57,,EHA,Fejlaflevering,,21,Frederikke GULMARK,,,,,
14,748302,6.35,,HHE,Tilkendt straffe,,21,Romee MAARSCHALKEWEERD,Forårs. str.,21,Frederikke GULMARK,,
15,748302,6.53,1-2,HHE,Mål på straffe,,14,Mai KRAGBALLE,,,,1,Annika FRIDHEIM
16,748302,7.38,2-2,EHA,Mål,ST,4,Cecilie TERMANSEN,Assist,21,Frederikke GULMARK,16,Andrea AUSTMO
17,748302,7.49,,HHE,Tilkendt straffe,,7,Maria Palsdottir NÓLSOY,Forårs. str.,10,Sofie LASSEN,,
18,748302,7.49,,EHA,Udvisning,,10,Sofie LASSEN,,,,,
19,748302,7.52,2-3,HHE,Mål på straffe,,14,Mai KRAGBALLE,,,,1,Annika FRIDHEIM
20,748302,8.44,,EHA,Passivt spil,,0,,,,,,
21,748302,9.21,,HHE,Skud reddet,HF,22,Sille Cecilie SORTH,,,,1,Annika FRIDHEIM
22,748302,9.52,,EHA,Skud blokeret,PL,21,Frederikke GULMARK,Blok af (ret),21,Romee MAARSCHALKEWEERD,,
23,748302,10.15,,EHA,Tabt bold,,23,Silje BRØNS,Bold erobret,21,Romee MAARSCHALKEWEERD,,
24,748302,10.22,2-4,HHE,Mål,1:e,33,Laura Holm ANDERSEN,Assist,21,Romee MAARSCHALKEWEERD1,1,Annika FRIDHEIM
25,748302,11.09,,EHA,Tilkendt straffe,,4,Cecilie TERMANSEN,Forårs. str.,21,Romee MAARSCHALKEWEERD,,
26,748302,11.23,3-4,EHA,Mål på straffe,,19,Mette BRANDT,,,,16,Andrea AUSTMO
27,748302,12.40,,HHE,Regelfejl,,14,Mai KRAGBALLE,,,,,
28,748302,12.47,,EHA,Fejlaflevering,,10,Sofie LASSEN,Bold erobret,14,Mai KRAGBALLE,,
29,748302,13.18,,HHE,Regelfejl,,39,Melanie BAK,,,,,
30,748302,13.46,4-4,EHA,Mål,HF,28,Maiken SKOV,Assist,23,Silje BRØNS,16,Andrea AUSTMO
31,748302,14.29,4-5,HHE,Mål,PL,14,Mai KRAGBALLE,,,,1,Annika FRIDHEIM
32,748302,15.10,5-5,EHA,Mål,HB,5,Anna Hviid BANG,,,,16,Andrea AUSTMO
33,748302,15.25,,HHE,Skud på stolpe,HB,7,Maria Palsdottir NÓLSOY,,,,1,Annika FRIDHEIM
34,748302,16.13,6-5,EHA,Mål,HB,5,Anna Hviid BANG,,,,16,Andrea AUSTMO
35,748302,16.49,6-6,HHE,Mål,ST,9,Annika MEYER,Assist,14,Mai KRAGBALLE,1,Annika FRIDHEIM
36,748302,17.21,,EHA,Skud reddet,HF,28,Maiken SKOV,,,,16,Andrea AUSTMO
37,748302,18.18,6-7,HHE,Mål,Gbr,19,Frida Haug HOEL,,,,1,Annika FRIDHEIM
38,748302,18.30,,EHA,Skud reddet,2:e,5,Anna Hviid BANG,,,,16,Andrea AUSTMO
39,748302,18.41,6-8,HHE,Mål,2:e,19,Frida Haug HOEL,,,,1,Annika FRIDHEIM
40,748302,18.51,,EHA,Time out,,,,,,,,
