id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748303,0.00,,,Start 1:e halvleg,,,,,,,,
2,748303,0.45,1-0,SVK,Mål,PL,6,Thea RASMUSSEN,,,,16,Johanne GRAUGAARD
3,748303,1.16,,EHA,Skud reddet,PL,5,Anna Hviid BANG,,,,22,Stine BONDE
4,748303,1.47,2-0,SVK,Mål,PL,4,Maria HOLM,,,,16,Johanne GRAUGAARD
5,748303,1.59,,EHA,Skud på stolpe,2:e,5,Anna Hviid BANG,,,,22,Stine BONDE
6,748303,2.07,,SVK,Fejlaflevering,,4,Maria HOLM,,,,,
7,748303,3.16,,EHA,Skud reddet,HF,7,Marlene DAHLMANN,,,,22,Stine BONDE
8,748303,3.24,3-0,SVK,Mål,2:e,31,Andrea West BENDTSEN,,,,16,Johanne GRAUGAARD
9,748303,3.37,,SVK,Advarsel,,4,Maria HOLM,,,,,
10,748303,4.04,,EHA,Skud reddet,VF,7,Marlene DAHLMANN,,,,22,Stine BONDE
11,748303,4.53,,SVK,Skud blokeret,PL,6,Thea RASMUSSEN,Blokeret af,10,Sofie LASSEN,,
12,748303,4.57,3-1,EHA,Mål,1:e,7,Marlene DAHLMANN,Assist,10,Sofie LASSEN,22,Stine BONDE
13,748303,5.08,4-1,SVK,Mål,2:e,31,Andrea West BENDTSEN,,,,16,Johanne GRAUGAARD
14,748303,5.22,,EHA,Tilkendt straffe,,23,Silje BRØNS,Forårs. str.,4,Maria HOLM,,
15,748303,5.47,4-2,EHA,Mål på straffe,,19,Mette BRANDT,,,,22,Stine BONDE
16,748303,6.03,,SVK,Fejlaflevering,,6,Thea RASMUSSEN,Bold erobret,17,Lin JOHANNSEN,,
17,748303,6.06,4-3,EHA,Mål,1:e,17,Lin JOHANNSEN,,,,22,Stine BONDE
18,748303,6.34,5-3,SVK,Mål,PL,31,Andrea West BENDTSEN,,,,16,Johanne GRAUGAARD
19,748303,7.16,,EHA,Skud forbi,VB,23,Silje BRØNS,,,,22,Stine BONDE
20,748303,7.26,,SVK,Skud på stolpe,2:e,7,Maja Munch LAURSEN,,,,16,Johanne GRAUGAARD
21,748303,8.18,5-4,EHA,Mål,ST,4,Cecilie TERMANSEN,Assist,23,Silje BRØNS,22,Stine BONDE
22,748303,9.18,6-4,SVK,Mål,PL,31,Andrea West BENDTSEN,,,,16,Johanne GRAUGAARD
23,748303,10.05,6-5,EHA,Mål,Gbr,5,Anna Hviid BANG,,,,22,Stine BONDE
24,748303,10.13,7-5,SVK,Mål,2:e,7,Maja Munch LAURSEN,Assist,31,Andrea West BENDTSEN,16,Johanne GRAUGAARD
25,748303,10.57,,EHA,Regelfejl,,4,Cecilie TERMANSEN,,,,,
26,748303,11.14,,EHA,Advarsel,,4,Cecilie TERMANSEN,,,,,
27,748303,11.36,8-5,SVK,Mål,Gbr,6,Thea RASMUSSEN,,,,16,Johanne GRAUGAARD
28,748303,11.46,,EHA,Regelfejl,,5,Anna Hviid BANG,,,,,
29,748303,11.52,9-5,SVK,Mål,1:e,15,Karen KLOKKER,Assist,31,Andrea West BENDTSEN,16,Johanne GRAUGAARD
30,748303,12.59,,EHA,Fejlaflevering,,21,Frederikke GULMARK,Bold erobret,15,Karen KLOKKER,,
31,748303,13.31,10-5,SVK,Mål,ST,11,Sara MADSEN,Assist,6,Thea RASMUSSEN,16,Johanne GRAUGAARD
32,748303,13.48,,EHA,Time out,,,,,,,,
33,748303,14.03,,EHA,Tilkendt straffe,,23,Silje BRØNS,Forårs. str.,4,Maria HOLM,,
34,748303,14.14,10-6,EHA,Mål på straffe,,30,Clara LERBY,,,,22,Stine BONDE
35,748303,15.16,11-6,SVK,Mål,Gbr,11,Sara MADSEN,,,,16,Johanne GRAUGAARD
36,748303,15.26,11-7,EHA,Mål,2:e,19,Mette BRANDT,,,,22,Stine BONDE
37,748303,15.37,,SVK,Fejlaflevering,,11,Sara MADSEN,,,,,
38,748303,16.14,,EHA,Skud forbi,Gbr,19,Mette BRANDT,,,,22,Stine BONDE
39,748303,16.23,12-7,SVK,Mål,2:e,6,Thea RASMUSSEN,,,,16,Johanne GRAUGAARD
40,748303,17.18,,EHA,Skud på stolpe,PL,23,Silje BRØNS,,,,22,Stine BONDE
41,748303,17.47,,SVK,Skud på stolpe,HB,11,Sara MADSEN,,,,16,Johanne GRAUGAARD
42,748303,17.58,,EHA,Tilkendt straffe,,23,Silje BRØNS,Forårs. str.,11,Sara MADSEN,,
43,748303,18.00,,EHA,Straffekast på stolpe,,19,Mette BRANDT,,,,16,Anna VENG
44,748303,18.53,,SVK,Fejlaflevering,,11,Sara MADSEN,,,,,
45,748303,18.58,,EHA,Tabt bold,,21,Frederikke GULMARK,Bold erobret,7,Maja Munch LAURSEN,,
46,748303,19.33,,SVK,Skud reddet,PL,11,Sara MADSEN,,,,16,Johanne GRAUGAARD
47,748303,19.44,12-8,EHA,Mål,2:e,17,Lin JOHANNSEN,Assist,23,Silje BRØNS,22,Stine BONDE
48,748303,20.38,13-8,SVK,Mål,Gbr,3,Isabella POULSEN,,,,16,Johanne GRAUGAARD
49,748303,21.15,13-9,EHA,Mål,Gbr,19,Mette BRANDT,Assist,9,Camilla THORHAUGE,22,Stine BONDE
50,748303,21.46,,SVK,Skud reddet,HB,4,Maria HOLM,Retur,0,16,16,Johanne GRAUGAARD
51,748303,21.48,,SVK,Tilkendt straffe,,7,Maja Munch LAURSEN,Forårs. str.,7,Marlene DAHLMANN,,
52,748303,21.48,,EHA,Udvisning,,7,Marlene DAHLMANN,,,,,
