id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748304,0.00,,,Start 1:e halvleg,,,,,,,,
2,748304,1.03,0-1,VHK,Mål,PL,26,Christina PEDERSEN,,,,86,Sabine ENGLERT
3,748304,1.46,1-1,AHB,Mål,ST,3,Sarah Vest KIRKELØKKE,Assist,15,Sofia DEEN,16,Louise Bak JENSEN
4,748304,2.24,,VHK,Tabt bold,,5,Marielle MARTINSEN,,,,,
5,748304,2.59,,AHB,Skud reddet,Gbr,17,Line Berggren LARSEN,,,,16,Louise Bak JENSEN
6,748304,3.33,1-2,VHK,Mål,HF,18,Henriette HANSEN,Assist,5,Marielle MARTINSEN,86,Sabine ENGLERT
7,748304,3.41,2-2,AHB,Mål,2:e,15,Sofia DEEN,,,,16,Louise Bak JENSEN
8,748304,4.14,,VHK,Skud reddet,Gbr,5,Marielle MARTINSEN,,,,86,Sabine ENGLERT
9,748304,4.55,,AHB,Tabt bold,,14,Anna Berger WIERZBA,Bold erobret,19,Sara HALD,,
10,748304,5.00,,VHK,Fejlaflevering,,5,Marielle MARTINSEN,,,,,
11,748304,5.09,,AHB,Skud reddet,2:e,10,Frederikke WAAGE-JENSEN,,,,16,Louise Bak JENSEN
12,748304,5.48,2-3,VHK,Mål,HF,18,Henriette HANSEN,Assist,9,Laura THESTRUP,86,Sabine ENGLERT
13,748304,6.22,3-3,AHB,Mål,Gbr,17,Line Berggren LARSEN,,,,16,Louise Bak JENSEN
14,748304,6.49,3-4,VHK,Mål,Gbr,26,Christina PEDERSEN,,,,86,Sabine ENGLERT
15,748304,7.03,,AHB,Skud på stolpe,Gbr,14,Anna Berger WIERZBA,,,,16,Louise Bak JENSEN
16,748304,7.10,,VHK,Tilkendt straffe,,5,Marielle MARTINSEN,Forårs. str.,3,Sarah Vest KIRKELØKKE,,
17,748304,7.11,,AHB,Udvisning,,3,Sarah Vest KIRKELØKKE,,,,,
18,748304,7.14,,VHK,Straffekast reddet,,19,Sara HALD,,,,86,Sabine ENGLERT
19,748304,7.59,,VHK,Advarsel,,26,Christina PEDERSEN,,,,,
20,748304,8.23,,AHB,Skud reddet,ST,4,Katrine JACOBSEN,,,,16,Louise Bak JENSEN
21,748304,8.55,,AHB,Udvisning,,4,Katrine JACOBSEN,,,,,
22,748304,9.05,3-5,VHK,Mål,Gbr,26,Christina PEDERSEN,,,,86,Sabine ENGLERT
23,748304,10.14,4-5,AHB,Mål,PL,15,Sofia DEEN,,,,16,Louise Bak JENSEN
24,748304,10.42,4-6,VHK,Mål,VF,3,Alberte SIMONSEN,,,,86,Sabine ENGLERT
25,748304,10.42,,AHB,Udvisning,,14,Anna Berger WIERZBA,,,,,
26,748304,11.33,,AHB,Skud på stolpe,Gbr,15,Sofia DEEN,,,,16,Louise Bak JENSEN
27,748304,11.41,,VHK,Skud reddet,2:e,18,Henriette HANSEN,,,,86,Sabine ENGLERT
28,748304,12.24,,AHB,Skud på stolpe,VF,18,Mathilde ØSTERGAARD,,,,16,Louise Bak JENSEN
29,748304,12.38,4-7,VHK,Mål,Gbr,77,Jana MITTÚN,,,,86,Sabine ENGLERT
30,748304,12.48,,AHB,Time out,,,,,,,,
31,748304,13.43,5-7,AHB,Mål,PL,17,Line Berggren LARSEN,,,,16,Louise Bak JENSEN
32,748304,13.56,,VHK,Skud reddet,Gbr,77,Jana MITTÚN,Retur,0,,86,Sabine ENGLERT
33,748304,14.25,,VHK,Tilkendt straffe,,19,Sara HALD,Forårs. str.,10,Frederikke WAAGE-JENSEN,,
34,748304,14.25,,AHB,Udvisning,,10,Frederikke WAAGE-JENSEN,,,,,
35,748304,14.28,5-8,VHK,Mål på straffe,,26,Christina PEDERSEN,,,,86,Sabine ENGLERT
36,748304,15.23,,AHB,Skud reddet,PL,17,Line Berggren LARSEN,,,,16,Louise Bak JENSEN
37,748304,15.51,,VHK,Skud forbi,PL,77,Jana MITTÚN,,,,86,Sabine ENGLERT
38,748304,16.41,,AHB,Tilkendt straffe,,15,Sofia DEEN,Forårs. str.,5,Marielle MARTINSEN,,
39,748304,16.57,,AHB,Straffekast reddet,,15,Sofia DEEN,,,,16,Louise Bak JENSEN
40,748304,17.47,5-9,VHK,Mål,ST,19,Sara HALD,Assist,77,Jana MITTÚN,86,Sabine ENGLERT
41,748304,17.56,,AHB,Regelfejl,,15,Sofia DEEN,,,,,
42,748304,18.56,,VHK,Skud reddet,VB,26,Christina PEDERSEN,,,,86,Sabine ENGLERT
43,748304,19.11,6-9,AHB,Mål,Gbr,77,Alberte EBLER,Assist,15,Sofia DEEN,16,Louise Bak JENSEN
44,748304,19.25,,VHK,Skud reddet,HF,18,Henriette HANSEN,,,,86,Sabine ENGLERT
45,748304,19.31,,AHB,Regelfejl,,17,Line Berggren LARSEN,,,,,
46,748304,20.11,6-10,VHK,Mål,ST,19,Sara HALD,Assist,77,Jana MITTÚN,86,Sabine ENGLERT
47,748304,20.43,,AHB,Regelfejl,,3,Sarah Vest KIRKELØKKE,,,,,
48,748304,21.15,6-11,VHK,Mål,ST,19,Sara HALD,Assist,77,Jana MITTÚN,86,Sabine ENGLERT
49,748304,21.27,,VHK,Udvisning,,77,Jana MITTÚN,,,,,
50,748304,21.43,7-11,AHB,Mål,Gbr,17,Line Berggren LARSEN,,,,16,Louise Bak JENSEN
51,748304,21.43,,VHK,Udvisning,,9,Laura THESTRUP,,,,,
52,748304,22.23,,VHK,Skud reddet,PL,5,Marielle MARTINSEN,,,,86,Sabine ENGLERT
53,748304,22.33,8-11,AHB,Mål,Gbr,17,Line Berggren LARSEN,,,,16,Louise Bak JENSEN
54,748304,22.35,,VHK,Udvisning,,21,Anne HYKKELBJERG,,,,,
55,748304,23.08,,VHK,Skud reddet,Gbr,8,Elma ÖRTEMARK,,,,86,Sabine ENGLERT
56,748304,23.18,,AHB,Skud reddet,2:e,4,Katrine JACOBSEN,,,,16,Louise Bak JENSEN
57,748304,23.42,,VHK,Regelfejl,,77,Jana MITTÚN,,,,,
58,748304,23.46,9-11,AHB,Mål,1:e,3,Sarah Vest KIRKELØKKE,,,,0,
59,748304,24.17,9-12,VHK,Mål,Gbr,5,Marielle MARTINSEN,,,,86,Sabine ENGLERT
60,748304,24.24,10-12,AHB,Mål,2:e,17,Line Berggren LARSEN,,,,0,
61,748304,25.04,10-13,VHK,Mål,HF,18,Henriette HANSEN,Assist,77,Jana MITTÚN,86,Sabine ENGLERT
