id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748305,0.00,,,Start 1:e halvleg,,,,,,,,
2,748305,0.36,0-1,BFH,Mål,ST,19,Rikke Dahl NIELSEN,Assist,72,Line FRANDSEN,20,Anne Christine BOSSEN
3,748305,1.30,,KBH,Regelfejl,,15,Emma NAVNE,,,,,
4,748305,1.59,,BFH,Fejlaflevering,,72,Line FRANDSEN,,,,,
5,748305,2.15,,KBH,Fejlaflevering,,11,Martha NICKELSEN,,,,,
6,748305,2.21,,BFH,Regelfejl,,31,Marianne HAUGSTED,,,,,
7,748305,3.20,,KBH,Fejlaflevering,,15,Emma NAVNE,,,,,
8,748305,3.58,,BFH,Fejlaflevering,,7,Line GYLDENLØVE,,,,,
9,748305,4.11,1-1,KBH,Mål,ST,17,Tabea SCHMID,Assist,21,Helene KINDBERG,20,Clara BAK
10,748305,4.46,1-2,BFH,Mål,ST,18,Sidsel POULSEN,Assist,72,Line FRANDSEN,20,Anne Christine BOSSEN
11,748305,5.18,,KBH,Skud på stolpe,VB,11,Martha NICKELSEN,,,,20,Clara BAK
12,748305,5.41,,BFH,Fejlaflevering,,72,Line FRANDSEN,,,,,
13,748305,6.13,,KBH,Skud reddet,HB,21,Helene KINDBERG,,,,20,Clara BAK
14,748305,6.57,,BFH,Regelfejl,,72,Line FRANDSEN,,,,,
15,748305,7.19,2-2,KBH,Mål,HF,9,Ditte BACH,Assist,21,Helene KINDBERG,20,Clara BAK
16,748305,7.49,,BFH,Fejlaflevering,,11,Arlinda HAJDARI,Bold erobret,17,Tabea SCHMID,,
17,748305,7.54,3-2,KBH,Mål,1:e,10,Pernille BRANDENBORG,,,,0,
18,748305,8.29,3-3,BFH,Mål,Gbr,72,Line FRANDSEN,Assist,11,Arlinda HAJDARI,20,Anne Christine BOSSEN
19,748305,8.36,,KBH,Fejlaflevering,,17,Tabea SCHMID,,,,,
20,748305,9.10,,BFH,Skud reddet,Gbr,11,Arlinda HAJDARI,,,,20,Anne Christine BOSSEN
21,748305,9.24,,KBH,Fejlaflevering,,15,Emma NAVNE,,,,,
22,748305,9.53,,BFH,Fejlaflevering,,72,Line FRANDSEN,,,,,
23,748305,9.58,,KBH,Skud på stolpe,1:e,10,Pernille BRANDENBORG,,,,0,
24,748305,10.22,,BFH,Skud reddet,Gbr,7,Line GYLDENLØVE,,,,20,Anne Christine BOSSEN
25,748305,10.26,4-3,KBH,Mål,1:e,10,Pernille BRANDENBORG,,,,0,
26,748305,10.57,4-4,BFH,Mål,HF,44,Louise HALD,Assist,11,Arlinda HAJDARI,20,Anne Christine BOSSEN
27,748305,11.50,,KBH,Regelfejl,,22,Stine JØRGENSEN,,,,,
28,748305,12.44,,BFH,Skud reddet,PL,72,Line FRANDSEN,,,,20,Anne Christine BOSSEN
29,748305,13.34,5-4,KBH,Mål,VF,7,Emilie YTTING,Assist,11,Martha NICKELSEN,20,Clara BAK
30,748305,14.08,,BFH,Skud reddet,Gbr,72,Line FRANDSEN,,,,20,Anne Christine BOSSEN
31,748305,14.18,6-4,KBH,Mål,2:e,9,Ditte BACH,Assist,21,Helene KINDBERG,20,Clara BAK
32,748305,14.50,6-5,BFH,Mål,Gbr,11,Arlinda HAJDARI,,,,20,Anne Christine BOSSEN
33,748305,15.03,,KBH,Fejlaflevering,,11,Martha NICKELSEN,,,,,
34,748305,15.55,,BFH,Regelfejl,,7,Line GYLDENLØVE,,,,,
35,748305,16.05,7-5,KBH,Mål,2:e,7,Emilie YTTING,Assist,22,Stine JØRGENSEN,20,Clara BAK
36,748305,16.57,,BFH,Skud reddet,ST,18,Sidsel POULSEN,,,,20,Anne Christine BOSSEN
37,748305,17.29,,KBH,Time out,,,,,,,,
38,748305,17.29,,KBH,Tilkendt straffe,,10,Pernille BRANDENBORG,Forårs. str.,19,Rikke Dahl NIELSEN,,
39,748305,17.30,8-5,KBH,Mål på straffe,,17,Tabea SCHMID,,,,20,Clara BAK
40,748305,18.01,,BFH,Regelfejl,,20,Clara BAK,,,,,
41,748305,18.04,9-5,KBH,Mål,2:e,21,Helene KINDBERG,,,,20,Clara BAK
