id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748306,0.00,,,Start 1:e halvleg,,,,,,,,
2,748306,0.46,,RIN,Skud forbi,ST,23,Nanna HINNERFELDT,,,,12,Filippa IDÉHN
3,748306,1.16,,IKA,Skud reddet,Gbr,7,Stine SKOGRAND,,,,16,Stephanie ANDERSEN
4,748306,1.45,1-0,RIN,Mål,VF,18,Emilie ROSBORG,Assist,3,Maria Berger WIERZBA,12,Filippa IDÉHN
5,748306,2.18,,IKA,Regelfejl,,8,Jamina ROBERTS,,,,,
6,748306,2.50,,RIN,Tilkendt straffe,,23,Nanna HINNERFELDT,Forårs. str.,18,Maria LYKKEGAARD,,
7,748306,3.03,2-0,RIN,Mål på straffe,,15,Jane MEJLVANG,,,,12,Filippa IDÉHN
8,748306,3.37,,IKA,Fejlaflevering,,8,Jamina ROBERTS,Bold erobret,22,Sofie ØSTERGAARD,,
9,748306,3.46,,RIN,Skud reddet,1:e,18,Emilie ROSBORG,,,,12,Filippa IDÉHN
10,748306,3.56,,IKA,Skud forbi,2:e,6,Cecilie BRANDT,,,,16,Stephanie ANDERSEN
11,748306,4.45,3-0,RIN,Mål,Gbr,15,Jane MEJLVANG,,,,12,Filippa IDÉHN
12,748306,5.00,,IKA,Skud reddet,2:e,22,Lærke NOLSØE,,,,16,Stephanie ANDERSEN
13,748306,6.13,,RIN,Skud blokeret,PL,15,Jane MEJLVANG,Blokeret af,21,Ingvild BAKKERUD,,
14,748306,6.36,,IKA,Skud reddet,Gbr,8,Jamina ROBERTS,,,,16,Stephanie ANDERSEN
15,748306,7.14,,RIN,Tabt bold,,3,Maria Berger WIERZBA,,,,,
16,748306,7.30,3-1,IKA,Mål,VF,22,Lærke NOLSØE,Assist,7,Stine SKOGRAND,16,Stephanie ANDERSEN
17,748306,8.06,4-1,RIN,Mål,Gbr,3,Maria Berger WIERZBA,,,,12,Filippa IDÉHN
18,748306,8.53,,IKA,Skud forbi,Gbr,21,Ingvild BAKKERUD,,,,16,Stephanie ANDERSEN
19,748306,9.23,,IKA,Advarsel,,21,Ingvild BAKKERUD,,,,,
20,748306,9.58,,RIN,Skud forbi,PL,15,Jane MEJLVANG,,,,12,Filippa IDÉHN
21,748306,10.30,4-2,IKA,Mål,Gbr,14,Emma LINDQVIST,,,,16,Stephanie ANDERSEN
