id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748307,0.00,,,Start 1:e halvleg,,,,,,,,
2,748307,1.07,0-1,SJE,Mål,VB,28,Sarah PAULSEN,,,,38,Yara TEN HOLTE
3,748307,1.14,,ODE,Skud reddet,PL,33,Thale Rushfeldt DEILA,,,,12,Stine BROLØS
4,748307,1.41,,SJE,Skud forbi,PL,7,Melissa PETRÉN,,,,38,Yara TEN HOLTE
5,748307,1.52,1-1,ODE,Mål,ST,20,Lysa DEFO,Assist,68,Helena ELVER,12,Stine BROLØS
6,748307,2.03,1-2,SJE,Mål,PL,28,Sarah PAULSEN,,,,38,Yara TEN HOLTE
7,748307,2.33,2-2,ODE,Mål,HF,34,Andrea HANSEN,Assist,33,Thale Rushfeldt DEILA,12,Stine BROLØS
8,748307,3.21,2-3,SJE,Mål,PL,7,Melissa PETRÉN,,,,38,Yara TEN HOLTE
9,748307,4.05,3-3,ODE,Mål,ST,20,Lysa DEFO,Assist,68,Helena ELVER,12,Stine BROLØS
10,748307,4.36,,SJE,Skud reddet,PL,7,Melissa PETRÉN,,,,38,Yara TEN HOLTE
11,748307,4.55,4-3,ODE,Mål,Gbr,33,Thale Rushfeldt DEILA,,,,12,Stine BROLØS
12,748307,5.09,,SJE,Tilkendt straffe,,28,Sarah PAULSEN,Forårs. str.,34,Andrea HANSEN,,
13,748307,5.24,,SJE,Straffekast reddet,,7,Melissa PETRÉN,,,,38,Yara TEN HOLTE
14,748307,5.54,,ODE,Skud reddet,PL,68,Helena ELVER,,,,12,Stine BROLØS
15,748307,6.22,,SJE,Fejlaflevering,,7,Melissa PETRÉN,Bold erobret,33,Thale Rushfeldt DEILA,,
16,748307,6.27,5-3,ODE,Mål,1:e,23,Elma HALILCEVIC,Assist,32,Mie HØJLUND,12,Stine BROLØS
17,748307,7.05,5-4,SJE,Mål,ST,31,Ida-Marie DAHL,Assist,8,Karine DAHLUM,38,Yara TEN HOLTE
18,748307,7.49,,ODE,Tilkendt straffe,,32,Mie HØJLUND,Forårs. str.,8,Karine DAHLUM,,
19,748307,7.59,6-4,ODE,Mål på straffe,,34,Andrea HANSEN,,,,12,Stine BROLØS
20,748307,8.30,6-5,SJE,Mål,ST,31,Ida-Marie DAHL,Assist,28,Sarah PAULSEN,38,Yara TEN HOLTE
21,748307,8.43,7-5,ODE,Mål,HF,34,Andrea HANSEN,Assist,20,Lysa DEFO,12,Stine BROLØS
22,748307,9.08,7-6,SJE,Mål,PL,7,Melissa PETRÉN,Assist,28,Sarah PAULSEN,38,Yara TEN HOLTE
23,748307,9.41,,ODE,Skud forbi,HF,34,Andrea HANSEN,,,,12,Stine BROLØS
24,748307,10.50,,SJE,Skud reddet,PL,7,Melissa PETRÉN,,,,38,Yara TEN HOLTE
25,748307,11.01,8-6,ODE,Mål,2:e,34,Andrea HANSEN,Assist,68,Helena ELVER,12,Stine BROLØS
26,748307,11.33,,SJE,Skud reddet,HB,8,Karine DAHLUM,,,,38,Yara TEN HOLTE
27,748307,11.39,9-6,ODE,Mål,1:e,23,Elma HALILCEVIC,Assist,38,Yara TEN HOLTE,12,Stine BROLØS
28,748307,12.09,,SJE,Skud reddet,HF,6,Lea HANSEN,,,,38,Yara TEN HOLTE
29,748307,12.44,,ODE,Skud reddet,Gbr,33,Thale Rushfeldt DEILA,,,,12,Stine BROLØS
30,748307,12.54,,SJE,Time out,,,,,,,,
31,748307,13.12,,SJE,Fejlaflevering,,28,Sarah PAULSEN,,,,,
32,748307,13.22,10-6,ODE,Mål,HF,34,Andrea HANSEN,Assist,33,Thale Rushfeldt DEILA,12,Stine BROLØS
33,748307,14.18,,SJE,Skud reddet,PL,8,Karine DAHLUM,,,,38,Yara TEN HOLTE
34,748307,14.52,,ODE,Fejlaflevering,,22,Ragnhild DAHL,,,,,
35,748307,15.25,,SJE,Skud reddet,VF,15,Sara IBRANOVIC,,,,38,Yara TEN HOLTE
36,748307,15.42,,ODE,Skud reddet,PL,68,Helena ELVER,Retur,34,Andrea HANSEN,12,Stine BROLØS
37,748307,16.12,11-6,ODE,Mål,ST,3,Maren AARDAHL,Assist,68,Helena ELVER,12,Stine BROLØS
38,748307,16.59,,SJE,Skud reddet,ST,7,Melissa PETRÉN,,,,38,Yara TEN HOLTE
39,748307,17.37,12-6,ODE,Mål,ST,34,Andrea HANSEN,Assist,68,Helena ELVER,12,Stine BROLØS
40,748307,17.47,,SJE,Skud forbi,VB,28,Sarah PAULSEN,,,,38,Yara TEN HOLTE
41,748307,17.57,13-6,ODE,Mål,PL,33,Thale Rushfeldt DEILA,,,,12,Stine BROLØS
42,748307,18.07,,SJE,Time out,,,,,,,,
43,748307,18.39,,SJE,Regelfejl,,7,Melissa PETRÉN,,,,,
44,748307,19.00,,ODE,Skud reddet,PL,22,Ragnhild DAHL,Retur,0,,12,Stine BROLØS
45,748307,19.13,14-6,ODE,Mål,Gbr,8,Helene FAUSKE,,,,12,Stine BROLØS
46,748307,19.22,,SJE,Skud reddet,2:e,31,Ida-Marie DAHL,,,,38,Yara TEN HOLTE
47,748307,19.56,,ODE,Tilkendt straffe,,3,Maren AARDAHL,Forårs. str.,24,Josefine DRAGENBERG,,
48,748307,19.56,,SJE,Udvisning,,24,Josefine DRAGENBERG,,,,,
49,748307,19.59,15-6,ODE,Mål på straffe,,34,Andrea HANSEN,,,,12,Stine BROLØS
50,748307,20.33,15-7,SJE,Mål,VB,7,Melissa PETRÉN,,,,38,Yara TEN HOLTE
51,748307,20.58,,ODE,Tabt bold,,8,Helene FAUSKE,,,,,
52,748307,21.54,15-8,SJE,Mål,ST,31,Ida-Marie DAHL,Assist,10,Nicoline OLSEN,38,Yara TEN HOLTE
53,748307,22.07,,ODE,Time out,,,,,,,,
54,748307,22.34,,ODE,Tabt bold,,28,Clara Skyum THOMSEN,,,,,
