id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748309,0.00,,,Start 1:e halvleg,,,,,,,,
2,748309,0.31,,HHE,Skud på stolpe,VF,3,Alma SKRETTING,,,,1,Isabella MATHORNE
3,748309,1.15,,SKB,Fejlaflevering,,7,Annika Solberg DALSAGER,Bold erobret,21,Romee MAARSCHALKEWEERD,,
4,748309,1.18,1-0,HHE,Mål,1:e,21,Romee MAARSCHALKEWEERD,,,,1,Isabella MATHORNE
5,748309,1.56,1-1,SKB,Mål,PL,11,Mia LAGUMDZIJA,,,,16,Andrea AUSTMO
6,748309,2.32,2-1,HHE,Mål,ST,33,Laura Holm ANDERSEN,Assist,14,Mai KRAGBALLE,1,Isabella MATHORNE
7,748309,3.20,,SKB,Skud reddet,Gbr,7,Annika Solberg DALSAGER,,,,16,Andrea AUSTMO
8,748309,4.08,3-1,HHE,Mål,VF,33,Laura Holm ANDERSEN,Assist,7,Maria Palsdottir NÓLSOY,1,Isabella MATHORNE
9,748309,4.20,3-2,SKB,Mål,2:e,3,Clara BANG,,,,16,Andrea AUSTMO
10,748309,4.32,4-2,HHE,Mål,2:e,14,Mai KRAGBALLE,,,,1,Isabella MATHORNE
11,748309,5.21,4-3,SKB,Mål,ST,2,Boline LAURSEN,Assist,11,Mia LAGUMDZIJA,16,Andrea AUSTMO
12,748309,6.03,,HHE,Skud reddet,Gbr,19,Frida Haug HOEL,,,,1,Isabella MATHORNE
13,748309,6.57,,SKB,Skud blokeret,PL,11,Mia LAGUMDZIJA,Blok af (ret),21,Romee MAARSCHALKEWEERD,,
14,748309,7.04,,SKB,Skud forbi,PL,22,Anne-Sofie FILTENBORG,,,,16,Andrea AUSTMO
15,748309,7.29,,HHE,Skud reddet,HB,19,Frida Haug HOEL,,,,1,Isabella MATHORNE
16,748309,8.12,4-4,SKB,Mål,PL,7,Annika Solberg DALSAGER,,,,16,Andrea AUSTMO
17,748309,8.43,5-4,HHE,Mål,Gbr,7,Maria Palsdottir NÓLSOY,,,,1,Isabella MATHORNE
18,748309,8.52,5-5,SKB,Mål,2:e,11,Mia LAGUMDZIJA,,,,16,Andrea AUSTMO
19,748309,9.00,,HHE,Tilkendt straffe,,7,Maria Palsdottir NÓLSOY,Forårs. str.,7,Annika Solberg DALSAGER,,
20,748309,9.00,,SKB,Udvisning,,7,Annika Solberg DALSAGER,,,,,
21,748309,9.02,6-5,HHE,Mål på straffe,,14,Mai KRAGBALLE,,,,1,Isabella MATHORNE
22,748309,10.04,6-6,SKB,Mål,PL,3,Clara BANG,,,,16,Andrea AUSTMO
23,748309,10.32,7-6,HHE,Mål,Gbr,7,Maria Palsdottir NÓLSOY,,,,1,Isabella MATHORNE
24,748309,11.11,,SKB,Tilkendt straffe,,44,Nicoline LAURITSEN,Forårs. str.,3,Alma SKRETTING,,
25,748309,11.14,,HHE,Advarsel,,3,Alma SKRETTING,,,,,
26,748309,11.26,7-7,SKB,Mål på straffe,,11,Mia LAGUMDZIJA,,,,16,Andrea AUSTMO
27,748309,12.10,,HHE,Skud reddet,VF,33,Laura Holm ANDERSEN,,,,1,Isabella MATHORNE
28,748309,12.19,,SKB,Skud reddet,2:e,3,Clara BANG,,,,16,Andrea AUSTMO
29,748309,12.35,,HHE,Tilkendt straffe,,7,Maria Palsdottir NÓLSOY,Forårs. str.,11,Mia LAGUMDZIJA,,
