id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748311,0.00,,,Start 1:e halvleg,,,,,,,,
2,748311,0.53,0-1,RIN,Mål,PL,15,Jane MEJLVANG,,,,24,Josephine NORDSTRØM
3,748311,1.52,,BFH,Skud blokeret,PL,7,Line GYLDENLØVE,Blokeret af,23,Nanna HINNERFELDT,,
4,748311,3.06,0-2,RIN,Mål,PL,15,Jane MEJLVANG,,,,24,Josephine NORDSTRØM
5,748311,4.07,,BFH,Tilkendt straffe,,11,Arlinda HAJDARI,Forårs. str.,18,Emilie ROSBORG,,
6,748311,4.20,1-2,BFH,Mål på straffe,,7,Line GYLDENLØVE,,,,16,Stephanie ANDERSEN
7,748311,4.54,,RIN,Tilkendt straffe,,23,Nanna HINNERFELDT,Forårs. str.,44,Louise HALD,,
8,748311,5.07,1-3,RIN,Mål på straffe,,15,Jane MEJLVANG,,,,24,Josephine NORDSTRØM
9,748311,5.54,2-3,BFH,Mål,PL,72,Line FRANDSEN,,,,16,Stephanie ANDERSEN
10,748311,6.24,,RIN,Fejlaflevering,,20,Stine Opstrup KRISTENSEN,Bold erobret,11,Arlinda HAJDARI,,
11,748311,6.52,3-3,BFH,Mål,ST,4,Emilie BANGSHØI,Assist,72,Line FRANDSEN,16,Stephanie ANDERSEN
12,748311,7.17,3-4,RIN,Mål,VB,3,Maria Berger WIERZBA,,,,24,Josephine NORDSTRØM
13,748311,8.06,4-4,BFH,Mål,ST,18,Sidsel POULSEN,Assist,72,Line FRANDSEN,16,Stephanie ANDERSEN
14,748311,8.19,,RIN,Skud reddet,2:e,18,Emilie ROSBORG,,,,24,Josephine NORDSTRØM
15,748311,9.07,5-4,BFH,Mål,PL,72,Line FRANDSEN,,,,16,Stephanie ANDERSEN
16,748311,9.23,5-5,RIN,Mål,2:e,23,Nanna HINNERFELDT,Assist,3,Maria Berger WIERZBA,24,Josephine NORDSTRØM
17,748311,9.57,,BFH,Skud blokeret,PL,7,Line GYLDENLØVE,Blok af (ret),23,Nanna HINNERFELDT,,
18,748311,10.19,,BFH,Skud blokeret,PL,11,Arlinda HAJDARI,Blok af (ret),23,Nanna HINNERFELDT,,
19,748311,10.28,6-5,BFH,Mål,Gbr,72,Line FRANDSEN,,,,16,Stephanie ANDERSEN
20,748311,10.42,,RIN,Skud forbi,2:e,22,Sofie ØSTERGAARD,,,,24,Josephine NORDSTRØM
21,748311,11.11,7-5,BFH,Mål,Gbr,11,Arlinda HAJDARI,Assist,18,Sidsel POULSEN,16,Stephanie ANDERSEN
22,748311,11.46,,RIN,Skud forbi,VB,3,Maria Berger WIERZBA,,,,24,Josephine NORDSTRØM
23,748311,12.35,8-5,BFH,Mål,PL,7,Line GYLDENLØVE,,,,88,Rakul WARDUM
24,748311,12.52,,RIN,Skud reddet,2:e,23,Nanna HINNERFELDT,Retur,0,Josephine NORDSTRØM,,
25,748311,13.16,8-6,RIN,Mål,VF,18,Emilie ROSBORG,Assist,15,Jane MEJLVANG,24,Josephine NORDSTRØM
26,748311,14.18,9-6,BFH,Mål,Gbr,11,Arlinda HAJDARI,,,,88,Rakul WARDUM
27,748311,14.59,,RIN,Tilkendt straffe,,23,Nanna HINNERFELDT,Forårs. str.,19,Rikke Dahl NIELSEN,,
28,748311,15.04,9-7,RIN,Mål på straffe,,15,Jane MEJLVANG,,,,20,Clara BAK
29,748311,15.37,,BFH,Skud reddet,HF,44,Louise HALD,,,,88,Rakul WARDUM
30,748311,16.22,9-8,RIN,Mål,PL,3,Maria Berger WIERZBA,,,,24,Josephine NORDSTRØM
31,748311,16.57,10-8,BFH,Mål,PL,11,Arlinda HAJDARI,,,,88,Rakul WARDUM
32,748311,17.35,,RIN,Fejlaflevering,,3,Maria Berger WIERZBA,,,,,
33,748311,18.11,,BFH,Regelfejl,,7,Line GYLDENLØVE,,,,,
34,748311,18.18,10-9,RIN,Mål,2:e,10,Frida Høgaard NIELSEN,,,,24,Josephine NORDSTRØM
35,748311,18.58,,BFH,Regelfejl,,72,Line FRANDSEN,,,,,
36,748311,19.03,10-10,RIN,Mål,1:e,18,Emilie ROSBORG,Assist,10,Frida Høgaard NIELSEN,20,Clara BAK
37,748311,19.38,,BFH,Tilkendt straffe,,10,Melina KRISTENSEN,Forårs. str.,18,Emilie ROSBORG,,
38,748311,20.00,11-10,BFH,Mål på straffe,,7,Line GYLDENLØVE,,,,88,Rakul WARDUM
39,748311,20.44,,BFH,Advarsel,,5,Sofie LUND,,,,,
40,748311,21.21,,RIN,Skud på stolpe,HF,33,Emma LAURSEN,,,,20,Clara BAK
41,748311,21.56,,BFH,Skud reddet,VF,4,Emilie BANGSHØI,,,,88,Rakul WARDUM
