id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748312,0.00,,,Start 1:e halvleg,,,,,,,,
2,748312,0.28,,KBH,Skud forbi,Gbr,22,Stine JØRGENSEN,,,,16,Louise Bak JENSEN
3,748312,1.14,,VHK,Skud på stolpe,PL,26,Christina PEDERSEN,Retur,19,Sara HALD,20,Anne Christine BOSSEN
4,748312,1.23,,VHK,Tilkendt straffe,,19,Sara HALD,Forårs. str.,10,Pernille BRANDENBORG,,
5,748312,1.39,1-0,VHK,Mål på straffe,,9,Laura THESTRUP,,,,20,Anne Christine BOSSEN
6,748312,2.26,,KBH,Skud på stolpe,ST,17,Tabea SCHMID,,,,16,Louise Bak JENSEN
7,748312,2.41,,VHK,Skud reddet,ST,19,Sara HALD,Retur,0,,20,Anne Christine BOSSEN
8,748312,3.11,,VHK,Skud reddet,Gbr,77,Jana MITTÚN,,,,20,Anne Christine BOSSEN
9,748312,4.06,,KBH,Tilkendt straffe,,17,Tabea SCHMID,Forårs. str.,19,Sara HALD,,
10,748312,4.21,1-1,KBH,Mål på straffe,,17,Tabea SCHMID,,,,16,Louise Bak JENSEN
11,748312,5.16,,VHK,Skud reddet,Gbr,77,Jana MITTÚN,Retur,0,,20,Anne Christine BOSSEN
12,748312,5.53,,KBH,Advarsel,,17,Tabea SCHMID,,,,,
13,748312,6.10,2-1,VHK,Mål,PL,26,Christina PEDERSEN,,,,20,Anne Christine BOSSEN
14,748312,6.21,2-2,KBH,Mål,2:e,21,Helene KINDBERG,,,,16,Louise Bak JENSEN
15,748312,6.53,3-2,VHK,Mål,ST,19,Sara HALD,Assist,77,Jana MITTÚN,20,Anne Christine BOSSEN
16,748312,8.13,,KBH,Tabt bold,,11,Martha NICKELSEN,,,,,
17,748312,8.22,4-2,VHK,Mål,2:e,19,Sara HALD,Assist,9,Laura THESTRUP,20,Anne Christine BOSSEN
18,748312,9.11,,KBH,Skud reddet,HF,9,Ditte BACH,,,,16,Louise Bak JENSEN
19,748312,9.27,,VHK,Fejlaflevering,,26,Christina PEDERSEN,,,,,
20,748312,9.32,,KBH,Tilkendt straffe,,9,Ditte BACH,Forårs. str.,26,Christina PEDERSEN,,
21,748312,9.47,4-3,KBH,Mål på straffe,,17,Tabea SCHMID,,,,16,Louise Bak JENSEN
22,748312,10.21,,VHK,Skud reddet,Gbr,5,Marielle MARTINSEN,,,,20,Anne Christine BOSSEN
23,748312,10.31,4-4,KBH,Mål,HF,9,Ditte BACH,Assist,21,Helene KINDBERG,16,Louise Bak JENSEN
24,748312,11.02,5-4,VHK,Mål,Gbr,77,Jana MITTÚN,,,,20,Anne Christine BOSSEN
25,748312,11.15,,VHK,Advarsel,,19,Sara HALD,,,,,
26,748312,11.15,5-5,KBH,Mål,Gbr,21,Helene KINDBERG,,,,16,Louise Bak JENSEN
27,748312,11.55,,VHK,Regelfejl,,26,Christina PEDERSEN,,,,,
28,748312,13.47,,KBH,Skud blokeret,HB,21,Helene KINDBERG,Blok af (ret),26,Christina PEDERSEN,,
29,748312,14.24,,KBH,Skud reddet,VB,22,Stine JØRGENSEN,,,,16,Louise Bak JENSEN
30,748312,14.45,,VHK,Tilkendt straffe,,19,Sara HALD,Forårs. str.,7,Emilie Ytting PEDERSEN,,
31,748312,15.10,6-5,VHK,Mål på straffe,,9,Laura THESTRUP,,,,20,Anne Christine BOSSEN
32,748312,15.37,6-6,KBH,Mål,Gbr,11,Martha NICKELSEN,Assist,22,Stine JØRGENSEN,16,Louise Bak JENSEN
33,748312,16.15,,VHK,Tilkendt straffe,,77,Jana MITTÚN,Forårs. str.,15,Emma NAVNE,,
34,748312,16.37,,VHK,Straffekast reddet,,0,,,,,2,Bianca SCHANSSEMA
35,748312,17.13,,KBH,Skud reddet,Gbr,11,Martha NICKELSEN,,,,16,Louise Bak JENSEN
36,748312,17.30,,VHK,Fejlaflevering,,26,Christina PEDERSEN,,,,,
37,748312,18.39,,KBH,Fejlaflevering,,21,Helene KINDBERG,,,,,
38,748312,18.52,7-6,VHK,Mål,HF,18,Henriette HANSEN,Assist,5,Marielle MARTINSEN,20,Anne Christine BOSSEN
39,748312,19.25,,KBH,Skud reddet,HF,9,Ditte BACH,Retur,0,,16,Louise Bak JENSEN
40,748312,19.51,,VHK,Advarsel,,26,Christina PEDERSEN,,,,,
41,748312,20.06,,KBH,Tilkendt straffe,,22,Stine JØRGENSEN,Forårs. str.,18,Henriette HANSEN,,
42,748312,20.14,7-7,KBH,Mål på straffe,,17,Tabea SCHMID,,,,12,Ida Marie KAYSEN
43,748312,20.56,,VHK,Skud reddet,PL,26,Christina PEDERSEN,,,,20,Anne Christine BOSSEN
44,748312,21.22,,KBH,Tabt bold,,21,Helene KINDBERG,,,,,
