id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748313,0.00,,,Start 1:e halvleg,,,,,,,,
2,748313,0.51,0-1,AHB,Mål,Gbr,15,Sofia DEEN,,,,22,Stine BONDE
3,748313,1.54,,SVK,Fejlaflevering,,31,Andrea West BENDTSEN,Bold erobret,18,Mathilde ØSTERGAARD,,
4,748313,2.30,0-2,AHB,Mål,PL,15,Sofia DEEN,,,,22,Stine BONDE
5,748313,2.38,1-2,SVK,Mål,2:e,23,Thilde FRANDSEN,Assist,31,Andrea West BENDTSEN,86,Sabine ENGLERT
6,748313,3.00,,AHB,Skud på stolpe,PL,17,Line Berggren LARSEN,Retur,18,Mathilde ØSTERGAARD,22,Stine BONDE
7,748313,3.06,1-3,AHB,Mål,VF,18,Mathilde ØSTERGAARD,,,,22,Stine BONDE
8,748313,3.25,2-3,SVK,Mål,2:e,4,Maria HOLM,,,,86,Sabine ENGLERT
9,748313,4.01,,AHB,Fejlaflevering,,77,Alberte EBLER,Bold erobret,4,Maria HOLM,,
10,748313,4.06,3-3,SVK,Mål,1:e,7,Maja Munch LAURSEN,Assist,23,Thilde FRANDSEN,86,Sabine ENGLERT
11,748313,4.15,,AHB,Regelfejl,,15,Sofia DEEN,,,,,
12,748313,4.24,4-3,SVK,Mål,2:e,4,Maria HOLM,,,,86,Sabine ENGLERT
13,748313,5.01,,AHB,Skud på stolpe,VF,18,Mathilde ØSTERGAARD,,,,22,Stine BONDE
14,748313,5.45,,SVK,Skud på stolpe,VB,6,Thea RASMUSSEN,,,,86,Sabine ENGLERT
15,748313,5.54,,AHB,Skud på stolpe,2:e,77,Alberte EBLER,,,,22,Stine BONDE
16,748313,6.04,,SVK,Fejlaflevering,,3,Isabella POULSEN,,,,,
17,748313,7.03,,AHB,Passivt spil,,0,,,,,,
18,748313,7.13,,SVK,Skud reddet,1:e,7,Maja Munch LAURSEN,,,,86,Sabine ENGLERT
19,748313,7.42,,AHB,Tabt bold,,77,Alberte EBLER,,,,,
20,748313,7.45,,AHB,Udvisning,,17,Line Berggren LARSEN,,,,,
21,748313,7.58,5-3,SVK,Mål,VF,7,Maja Munch LAURSEN,Assist,6,Thea RASMUSSEN,86,Sabine ENGLERT
22,748313,8.57,,AHB,Skud på stolpe,HF,10,Frederikke WAAGE-JENSEN,,,,22,Stine BONDE
23,748313,9.20,6-3,SVK,Mål,ST,15,Karen KLOKKER,Assist,6,Thea RASMUSSEN,86,Sabine ENGLERT
24,748313,9.53,,AHB,Fejlaflevering,,23,Nikoline SAX,Bold erobret,31,Andrea West BENDTSEN,,
25,748313,9.58,7-3,SVK,Mål,1:e,23,Thilde FRANDSEN,Assist,31,Andrea West BENDTSEN,86,Sabine ENGLERT
26,748313,10.03,,AHB,Time out,,,,,,,,
27,748313,10.29,,AHB,Skud reddet,VF,18,Mathilde ØSTERGAARD,,,,22,Stine BONDE
28,748313,11.03,8-3,SVK,Mål,ST,23,Thilde FRANDSEN,Assist,31,Andrea West BENDTSEN,86,Sabine ENGLERT
29,748313,11.11,,AHB,Tabt bold,,17,Line Berggren LARSEN,Bold erobret,4,Maria HOLM,,
30,748313,11.41,9-3,SVK,Mål,HB,4,Maria HOLM,,,,86,Sabine ENGLERT
31,748313,12.28,,AHB,Tilkendt straffe,,3,Sarah Vest KIRKELØKKE,Forårs. str.,15,Karen KLOKKER,,
32,748313,12.41,9-4,AHB,Mål på straffe,,18,Mathilde ØSTERGAARD,,,,22,Stine BONDE
33,748313,13.08,10-4,SVK,Mål,ST,31,Andrea West BENDTSEN,Assist,4,Maria HOLM,86,Sabine ENGLERT
34,748313,13.44,,AHB,Fejlaflevering,,23,Nikoline SAX,,,,,
35,748313,13.48,11-4,SVK,Mål,1:e,7,Maja Munch LAURSEN,Assist,31,Andrea West BENDTSEN,86,Sabine ENGLERT
36,748313,13.52,,AHB,Time out,,,,,,,,
37,748313,14.23,11-5,AHB,Mål,Gbr,15,Sofia DEEN,,,,22,Stine BONDE
38,748313,15.04,12-5,SVK,Mål,Gbr,6,Thea RASMUSSEN,,,,1,Elin THORSTEINSDOTTIR
39,748313,15.21,,AHB,Skud reddet,HF,10,Frederikke WAAGE-JENSEN,Retur,0,,22,Stine BONDE
