id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748315,0.00,,,Start 1:e halvleg,,,,,,,,
2,748315,0.39,,SJE,Advarsel,,22,Olivia SIMONSEN,,,,,
3,748315,1.27,0-1,NFH,Mål,ST,2,Caroline AAR,Assist,26,Mona OBAIDLI,12,Stine BROLØS
4,748315,2.14,1-1,SJE,Mål,VF,17,June BØTTGER,Assist,7,Melissa PETRÉN,12,Catharina BROCH
5,748315,2.28,1-2,NFH,Mål,Gbr,18,Alberte KIELSTRUP,Assist,2,Caroline AAR,12,Stine BROLØS
6,748315,3.19,,SJE,Tilkendt straffe,,28,Sarah PAULSEN,Forårs. str.,20,Maja MAGNUSSEN,,
7,748315,3.37,,SJE,Straffekast reddet,,7,Melissa PETRÉN,,,,12,Catharina BROCH
8,748315,4.05,1-3,NFH,Mål,Gbr,7,Amalie WULFF,,,,12,Stine BROLØS
9,748315,4.14,2-3,SJE,Mål,2:e,10,Nicoline OLSEN,,,,12,Catharina BROCH
10,748315,4.23,2-4,NFH,Mål,2:e,26,Mona OBAIDLI,,,,12,Stine BROLØS
11,748315,4.59,,SJE,Skud reddet,PL,28,Sarah PAULSEN,Retur,6,Lea HANSEN,12,Catharina BROCH
12,748315,5.22,,SJE,Tabt bold,,7,Melissa PETRÉN,Bold erobret,49,Aimée VON PEREIRA,,
13,748315,5.27,2-5,NFH,Mål,1:e,20,Maja MAGNUSSEN,Assist,2,Caroline AAR,12,Stine BROLØS
14,748315,6.04,,SJE,Skud reddet,VB,7,Melissa PETRÉN,,,,12,Catharina BROCH
15,748315,6.37,2-6,NFH,Mål,Gbr,7,Amalie WULFF,Assist,18,Alberte KIELSTRUP,12,Stine BROLØS
16,748315,6.54,,SJE,Time out,,,,,,,,
17,748315,7.33,,SJE,Fejlaflevering,,10,Nicoline OLSEN,Bold erobret,8,Stine EIBERG,,
18,748315,7.38,,NFH,Fejlaflevering,,8,Stine EIBERG,,,,,
19,748315,8.20,,SJE,Skud på stolpe,ST,31,Ida-Marie DAHL,,,,12,Catharina BROCH
20,748315,8.32,,NFH,Skud reddet,HF,20,Maja MAGNUSSEN,,,,12,Stine BROLØS
21,748315,8.40,,SJE,Tilkendt straffe,,22,Olivia SIMONSEN,Forårs. str.,2,Caroline AAR,,
22,748315,8.44,,SJE,Straffekast på stolpe,,7,Melissa PETRÉN,,,,12,Catharina BROCH
23,748315,10.03,,NFH,Regelfejl,,18,Alberte KIELSTRUP,,,,,
24,748315,10.41,3-6,SJE,Mål,HF,6,Lea HANSEN,Assist,7,Melissa PETRÉN,12,Catharina BROCH
25,748315,11.15,,SJE,Udvisning,,14,Louise ELLEBÆK,,,,,
26,748315,11.38,3-7,NFH,Mål,VF,21,Matilde VESTERGAARD,Assist,18,Alberte KIELSTRUP,12,Stine BROLØS
27,748315,12.10,,SJE,Fejlaflevering,,10,Nicoline OLSEN,,,,,
28,748315,12.17,,NFH,Skud på stolpe,1:e,8,Stine EIBERG,,,,0,
29,748315,12.48,4-7,SJE,Mål,Gbr,7,Melissa PETRÉN,,,,12,Catharina BROCH
30,748315,12.56,4-8,NFH,Mål,2:e,8,Stine EIBERG,,,,0,
31,748315,13.29,,SJE,Skud reddet,Gbr,10,Nicoline OLSEN,,,,12,Catharina BROCH
32,748315,13.37,4-9,NFH,Mål,2:e,18,Alberte KIELSTRUP,,,,12,Stine BROLØS
33,748315,14.07,,SJE,Skud på stolpe,PL,28,Sarah PAULSEN,,,,12,Catharina BROCH
34,748315,14.12,4-10,NFH,Mål,1:e,21,Matilde VESTERGAARD,Assist,26,Mona OBAIDLI,12,Stine BROLØS
35,748315,15.23,,SJE,Skud reddet,VB,28,Sarah PAULSEN,Retur,0,,12,Catharina BROCH
36,748315,15.52,5-10,SJE,Mål,Gbr,28,Sarah PAULSEN,,,,12,Catharina BROCH
37,748315,17.14,,NFH,Skud blokeret,PL,26,Mona OBAIDLI,Blok af (ret),22,Olivia SIMONSEN,,
38,748315,17.24,,NFH,Skud på stolpe,HB,18,Alberte KIELSTRUP,,,,12,Stine BROLØS
39,748315,17.33,6-10,SJE,Mål,2:e,17,June BØTTGER,Assist,28,Sarah PAULSEN,12,Catharina BROCH
40,748315,18.29,,NFH,Regelfejl,,34,Sofie BARDRUM,,,,,
41,748315,18.38,,SJE,Skud forbi,1:e,22,Olivia SIMONSEN,,,,12,Catharina BROCH
42,748315,18.42,,SJE,Udvisning,,31,Ida-Marie DAHL,,,,,
43,748315,18.59,6-11,NFH,Mål,ST,2,Caroline AAR,Assist,79,Kristina KRISTIANSEN,12,Stine BROLØS
44,748315,19.42,7-11,SJE,Mål,VB,22,Olivia SIMONSEN,,,,12,Catharina BROCH
45,748315,20.08,,NFH,Skud reddet,Gbr,18,Alberte KIELSTRUP,,,,12,Stine BROLØS
46,748315,20.15,8-11,SJE,Mål,1:e,28,Sarah PAULSEN,,,,0,
47,748315,20.35,8-12,NFH,Mål,PL,26,Mona OBAIDLI,,,,12,Stine BROLØS
48,748315,21.15,,SJE,Skud reddet,PL,22,Olivia SIMONSEN,Retur,17,June BØTTGER,12,Catharina BROCH
49,748315,21.22,9-12,SJE,Mål,VF,17,June BØTTGER,,,,12,Catharina BROCH
50,748315,21.24,,NFH,Time out,,,,,,,,
51,748315,22.01,9-13,NFH,Mål,HB,6,Moa HÖGDAHL,,,,26,Nora PERSSON
52,748315,22.51,10-13,SJE,Mål,VF,17,June BØTTGER,Assist,22,Olivia SIMONSEN,12,Catharina BROCH
53,748315,23.01,,NFH,Fejlaflevering,,26,Mona OBAIDLI,,,,,
54,748315,23.06,,SJE,Fejlaflevering,,7,Melissa PETRÉN,Bold erobret,26,Mona OBAIDLI,,
55,748315,23.37,,NFH,Skud reddet,Gbr,6,Moa HÖGDAHL,,,,26,Nora PERSSON
56,748315,23.43,,SJE,Regelfejl,,7,Melissa PETRÉN,,,,,
57,748315,23.49,,NFH,Regelfejl,,21,Matilde VESTERGAARD,,,,,
58,748315,24.23,,SJE,Skud reddet,HB,28,Sarah PAULSEN,,,,12,Catharina BROCH
59,748315,24.55,10-14,NFH,Mål,Gbr,6,Moa HÖGDAHL,,,,26,Nora PERSSON
60,748315,25.32,11-14,SJE,Mål,Gbr,28,Sarah PAULSEN,,,,12,Catharina BROCH
61,748315,26.36,,NFH,Skud forbi,VB,6,Moa HÖGDAHL,,,,26,Nora PERSSON
62,748315,26.46,,SJE,Skud på stolpe,1:e,17,June BØTTGER,,,,12,Catharina BROCH
63,748315,27.49,,NFH,Tabt bold,,34,Sofie BARDRUM,,,,,
64,748315,27.59,,SJE,Tilkendt straffe,,31,Ida-Marie DAHL,Forårs. str.,49,Aimée VON PEREIRA,,
65,748315,28.16,12-14,SJE,Mål på straffe,,28,Sarah PAULSEN,,,,12,Catharina BROCH
66,748315,29.14,12-15,NFH,Mål,ST,34,Sofie BARDRUM,Assist,26,Mona OBAIDLI,26,Nora PERSSON
