id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748316,0.00,,,Start 1:e halvleg,,,,,,,,
2,748316,0.41,1-0,EHA,Mål,HF,28,Maiken SKOV,Assist,19,Mette BRANDT,12,Sarah ERNEBJERG
3,748316,1.28,,SKB,Skud blokeret,PL,14,Verona REXHEPI,Blokeret af,4,Cecilie TERMANSEN,,
4,748316,1.36,,EHA,Fejlaflevering,,16,Johanne GRAUGAARD,Bold erobret,11,Mia LAGUMDZIJA,,
5,748316,2.07,,SKB,Skud reddet,VB,11,Mia LAGUMDZIJA,,,,16,Johanne GRAUGAARD
6,748316,2.20,2-0,EHA,Mål,2:e,23,Silje BRØNS,,,,12,Sarah ERNEBJERG
7,748316,2.24,,SKB,Udvisning,,10,Filippa NEDOVIC,,,,,
8,748316,2.52,,SKB,Tilkendt straffe,,3,Clara BANG,Forårs. str.,19,Mette BRANDT,,
9,748316,3.11,2-1,SKB,Mål på straffe,,11,Mia LAGUMDZIJA,,,,16,Johanne GRAUGAARD
10,748316,3.32,,EHA,Fejlaflevering,,19,Mette BRANDT,,,,,
11,748316,4.25,,SKB,Skud blokeret,PL,3,Clara BANG,Blokeret af,10,Sofie LASSEN,,
12,748316,4.46,3-1,EHA,Mål,HF,28,Maiken SKOV,Assist,19,Mette BRANDT,12,Sarah ERNEBJERG
13,748316,5.11,3-2,SKB,Mål,Gbr,3,Clara BANG,,,,16,Johanne GRAUGAARD
14,748316,5.22,,EHA,Skud reddet,ST,4,Cecilie TERMANSEN,,,,12,Sarah ERNEBJERG
15,748316,5.34,,SKB,Skud blokeret,PL,11,Mia LAGUMDZIJA,Blok af (ret),10,Sofie LASSEN,,
16,748316,5.36,3-3,SKB,Mål,VF,25,Astrid LYNNERUP,,,,16,Johanne GRAUGAARD
17,748316,6.02,,EHA,Skud reddet,VB,23,Silje BRØNS,,,,12,Sarah ERNEBJERG
