id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748319,0.00,,,Start 1:e halvleg,,,,,,,,
2,748319,0.54,,RIN,Skud forbi,HF,22,Sofie ØSTERGAARD,,,,16,Louise Bak JENSEN
3,748319,1.09,,VHK,Skud reddet,2:e,18,Henriette HANSEN,,,,16,Stephanie ANDERSEN
4,748319,2.12,,RIN,Skud forbi,PL,3,Maria Berger WIERZBA,,,,16,Louise Bak JENSEN
5,748319,2.20,,VHK,Skud på stolpe,2:e,3,Alberte SIMONSEN,,,,16,Stephanie ANDERSEN
6,748319,3.02,,VHK,Advarsel,,18,Henriette HANSEN,,,,,
7,748319,3.23,,RIN,Skud forbi,PL,3,Maria Berger WIERZBA,,,,16,Louise Bak JENSEN
8,748319,4.19,0-1,VHK,Mål,PL,9,Laura THESTRUP,,,,16,Stephanie ANDERSEN
9,748319,4.34,1-1,RIN,Mål,2:e,3,Maria Berger WIERZBA,,,,16,Louise Bak JENSEN
10,748319,5.06,,VHK,Tilkendt straffe,,77,Jana MITTÚN,Forårs. str.,23,Nanna HINNERFELDT,,
11,748319,5.20,,VHK,Straffekast reddet,,19,Sara HALD,,,,16,Stephanie ANDERSEN
12,748319,5.51,,RIN,Skud forbi,ST,23,Nanna HINNERFELDT,,,,16,Louise Bak JENSEN
13,748319,6.07,,RIN,Advarsel,,23,Nanna HINNERFELDT,,,,,
14,748319,6.33,,VHK,Regelfejl,,3,Alberte SIMONSEN,,,,,
15,748319,7.14,2-1,RIN,Mål,HF,22,Sofie ØSTERGAARD,Assist,20,Stine Opstrup KRISTENSEN,16,Louise Bak JENSEN
16,748319,7.52,2-2,VHK,Mål,Gbr,9,Laura THESTRUP,,,,16,Stephanie ANDERSEN
17,748319,8.55,,RIN,Skud forbi,Gbr,20,Stine Opstrup KRISTENSEN,,,,16,Louise Bak JENSEN
18,748319,9.48,,VHK,Regelfejl,,19,Sara HALD,,,,,
19,748319,9.53,3-2,RIN,Mål,1:e,22,Sofie ØSTERGAARD,Assist,3,Maria Berger WIERZBA,16,Louise Bak JENSEN
20,748319,10.58,3-3,VHK,Mål,HB,5,Marielle MARTINSEN,,,,16,Stephanie ANDERSEN
21,748319,12.07,4-3,RIN,Mål,PL,15,Jane MEJLVANG,,,,16,Louise Bak JENSEN
22,748319,12.46,,VHK,Skud reddet,HF,18,Henriette HANSEN,,,,16,Stephanie ANDERSEN
23,748319,12.55,,RIN,Skud reddet,2:e,18,Emilie ROSBORG,,,,16,Louise Bak JENSEN
24,748319,13.02,,VHK,Skud blokeret,2:e,9,Laura THESTRUP,Blok af (ret),23,Nanna HINNERFELDT,,
25,748319,13.38,,VHK,Skud reddet,PL,5,Marielle MARTINSEN,,,,16,Stephanie ANDERSEN
26,748319,14.40,5-3,RIN,Mål,ST,23,Nanna HINNERFELDT,Assist,3,Maria Berger WIERZBA,16,Louise Bak JENSEN
