id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748320,0.00,,,Start 1:e halvleg,,,,,,,,
2,748320,0.32,,ODE,Skud reddet,Gbr,28,Clara Skyum THOMSEN,,,,20,Clara BAK
3,748320,1.01,,BFH,Fejlaflevering,,11,Arlinda HAJDARI,Bold erobret,44,Nikita Van Der VLIET,,
4,748320,1.08,1-0,ODE,Mål,1:e,44,Nikita Van Der VLIET,,,,0,
5,748320,1.22,1-1,BFH,Mål,Gbr,7,Line GYLDENLØVE,,,,38,Yara TEN HOLTE
6,748320,1.49,2-1,ODE,Mål,ST,44,Nikita Van Der VLIET,Assist,10,Anna GRUNDTVIG,20,Clara BAK
7,748320,2.15,,BFH,Regelfejl,,25,Laura JENSEN,,,,,
8,748320,2.43,3-1,ODE,Mål,Gbr,28,Clara Skyum THOMSEN,,,,20,Clara BAK
9,748320,3.12,,BFH,Skud reddet,HF,10,Melina KRISTENSEN,,,,38,Yara TEN HOLTE
10,748320,3.12,,BFH,Udvisning,,10,Melina KRISTENSEN,,,,,
11,748320,3.32,4-1,ODE,Mål,Gbr,28,Clara Skyum THOMSEN,Assist,8,Helene FAUSKE,20,Clara BAK
12,748320,4.02,4-2,BFH,Mål,Gbr,7,Line GYLDENLØVE,,,,38,Yara TEN HOLTE
13,748320,4.27,,ODE,Skud på stolpe,ST,44,Nikita Van Der VLIET,,,,20,Clara BAK
14,748320,4.56,4-3,BFH,Mål,Gbr,11,Arlinda HAJDARI,,,,38,Yara TEN HOLTE
15,748320,5.05,,ODE,Fejlaflevering,,44,Nikita Van Der VLIET,,,,,
16,748320,5.45,,BFH,Tilkendt straffe,,11,Arlinda HAJDARI,Forårs. str.,10,Anna GRUNDTVIG,,
17,748320,6.08,4-4,BFH,Mål på straffe,,7,Line GYLDENLØVE,,,,38,Yara TEN HOLTE
18,748320,6.50,,ODE,Skud reddet,Gbr,8,Helene FAUSKE,,,,20,Clara BAK
19,748320,6.59,,BFH,Skud reddet,2:e,11,Arlinda HAJDARI,,,,38,Yara TEN HOLTE
20,748320,7.28,5-4,ODE,Mål,ST,10,Anna GRUNDTVIG,Assist,28,Clara Skyum THOMSEN,20,Clara BAK
21,748320,7.54,5-5,BFH,Mål,Gbr,7,Line GYLDENLØVE,Assist,19,Rikke Dahl NIELSEN,38,Yara TEN HOLTE
22,748320,8.43,,ODE,Fejlaflevering,,10,Anna GRUNDTVIG,,,,,
23,748320,9.17,,BFH,Skud reddet,ST,18,Sidsel POULSEN,,,,38,Yara TEN HOLTE
24,748320,9.24,,ODE,Skud forbi,1:e,44,Nikita Van Der VLIET,,,,0,
