id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748321,0.00,,,Start 1:e halvleg,,,,,,,,
2,748321,0.49,,NFH,Tabt bold,,11,Rosa SCHMIDT,,,,,
3,748321,1.01,0-1,IKA,Mål,Gbr,21,Ingvild BAKKERUD,,,,12,Catharina BROCH
4,748321,1.24,1-1,NFH,Mål,PL,26,Mona OBAIDLI,,,,12,Filippa IDÉHN
5,748321,1.58,1-2,IKA,Mål,Gbr,7,Stine SKOGRAND,,,,12,Catharina BROCH
6,748321,2.01,,NFH,Udvisning,,26,Mona OBAIDLI,,,,,
7,748321,3.06,,NFH,Skud forbi,HB,18,Alberte KIELSTRUP,,,,12,Filippa IDÉHN
8,748321,3.28,,IKA,Skud på stolpe,HF,6,Cecilie BRANDT,,,,12,Catharina BROCH
9,748321,4.07,,IKA,Advarsel,,18,Maria LYKKEGAARD,,,,,
10,748321,4.29,,NFH,Tilkendt straffe,,26,Mona OBAIDLI,Forårs. str.,21,Ingvild BAKKERUD,,
11,748321,5.02,2-2,NFH,Mål på straffe,,34,Sofie BARDRUM,,,,12,Filippa IDÉHN
12,748321,5.18,,IKA,Skud forbi,PL,21,Ingvild BAKKERUD,,,,12,Catharina BROCH
13,748321,5.30,,NFH,Tilkendt straffe,,2,Caroline AAR,Forårs. str.,18,Maria LYKKEGAARD,,
14,748321,5.56,3-2,NFH,Mål på straffe,,34,Sofie BARDRUM,,,,12,Filippa IDÉHN
15,748321,6.50,3-3,IKA,Mål,Gbr,8,Jamina ROBERTS,,,,12,Catharina BROCH
16,748321,7.29,,NFH,Fejlaflevering,,26,Mona OBAIDLI,,,,,
17,748321,7.36,3-4,IKA,Mål,2:e,21,Ingvild BAKKERUD,Assist,7,Stine SKOGRAND,12,Catharina BROCH
18,748321,8.10,,NFH,Skud forbi,Gbr,18,Alberte KIELSTRUP,,,,12,Filippa IDÉHN
