id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748323,0.00,,,Start 1:e halvleg,,,,,,,,
2,748323,0.43,0-1,TES,Mål,Gbr,4,Michala MØLLER,,,,12,Sarah ERNEBJERG
3,748323,0.53,1-1,SKB,Mål,VF,25,Astrid LYNNERUP,Assist,44,Nicoline LAURITSEN,16,Amalie MILLING
4,748323,1.01,1-2,TES,Mål,2:e,25,Henny REISTAD,,,,12,Sarah ERNEBJERG
5,748323,1.47,,SKB,Skud reddet,Gbr,44,Nicoline LAURITSEN,,,,16,Amalie MILLING
6,748323,2.17,,TES,Regelfejl,,8,Live RUSHFELDT DEILA,,,,,
7,748323,2.52,,SKB,Skud reddet,PL,14,Verona REXHEPI,,,,16,Amalie MILLING
8,748323,3.02,1-3,TES,Mål,2:e,38,Mia EMMENEGGER,Assist,8,Live RUSHFELDT DEILA,12,Sarah ERNEBJERG
9,748323,3.36,,SKB,Skud blokeret,HB,3,Clara BANG,Blok af (ret),25,Henny REISTAD,,
10,748323,4.03,2-3,SKB,Mål,PL,3,Clara BANG,,,,16,Amalie MILLING
11,748323,4.29,2-4,TES,Mål,ST,11,Rikke IVERSEN,Assist,4,Michala MØLLER,12,Sarah ERNEBJERG
12,748323,4.43,,SKB,Tilkendt straffe,,44,Nicoline LAURITSEN,Forårs. str.,4,Michala MØLLER,,
13,748323,5.00,,SKB,Straffekast reddet,,3,Clara BANG,,,,16,Amalie MILLING
14,748323,5.34,,SKB,Advarsel,,26,Christina HANSEN,,,,,
15,748323,5.54,,TES,Skud reddet,Gbr,8,Live RUSHFELDT DEILA,,,,12,Sarah ERNEBJERG
16,748323,6.04,,SKB,Skud reddet,PL,14,Verona REXHEPI,,,,16,Amalie MILLING
17,748323,6.15,2-5,TES,Mål,2:e,38,Mia EMMENEGGER,Assist,8,Live RUSHFELDT DEILA,12,Sarah ERNEBJERG
18,748323,7.06,,SKB,Fejlaflevering,,14,Verona REXHEPI,Bold erobret,11,Rikke IVERSEN,,
19,748323,7.10,,TES,Fejlaflevering,,11,Rikke IVERSEN,,,,,
20,748323,7.40,,SKB,Skud reddet,PL,3,Clara BANG,,,,16,Amalie MILLING
21,748323,7.45,2-6,TES,Mål,1:e,11,Rikke IVERSEN,Assist,38,Mia EMMENEGGER,12,Sarah ERNEBJERG
22,748323,8.02,,SKB,Time out,,,,,,,,
