team_code,season,team_name,league,total_players,avg_rating,file,is_conflict,is_problem,problem_type,leagues_for_code
KIF,2017-2018,KIF Kolding,Herreliga,14,1269.3,player_based_herreliga_team_elo_2017_2018.csv,False,False,,Herreliga
KIF,2018-2019,KIF Kolding,Herreliga,15,1295.0,player_based_herreliga_team_elo_2018_2019.csv,False,False,,Herreliga
KIF,2019-2020,KIF Kolding,Herreliga,18,1311.2,player_based_herreliga_team_elo_2019_2020.csv,False,False,,Herreliga
KIF,2020-2021,KIF Kolding,Herreliga,19,1287.4,player_based_herreliga_team_elo_2020_2021.csv,False,False,,Herreliga
KIF,2021-2022,KIF Kolding,Herreliga,19,1323.9,player_based_herreliga_team_elo_2021_2022.csv,False,False,,Herreliga
KIF,2022-2023,KIF Kolding,Herreliga,17,1338.0,player_based_herreliga_team_elo_2022_2023.csv,False,False,,Herreliga
KIF,2023-2024,KIF Kolding,Herreliga,21,1311.9,player_based_herreliga_team_elo_2023_2024.csv,False,False,,Herreliga
KIF,2024-2025,KIF Kolding,Herreliga,23,1298.4,player_based_herreliga_team_elo_2024_2025.csv,False,False,,Herreliga
SKH,2017-2018,Skjern Håndbold,Herreliga,15,1267.4,player_based_herreliga_team_elo_2017_2018.csv,False,False,,Herreliga
SKH,2018-2019,Skjern Håndbold,Herreliga,16,1316.5,player_based_herreliga_team_elo_2018_2019.csv,False,False,,Herreliga
SKH,2019-2020,Skjern Håndbold,Herreliga,14,1327.6,player_based_herreliga_team_elo_2019_2020.csv,False,False,,Herreliga
SKH,2020-2021,Skjern Håndbold,Herreliga,14,1343.6,player_based_herreliga_team_elo_2020_2021.csv,False,False,,Herreliga
SKH,2021-2022,Skjern Håndbold,Herreliga,33,1352.8,player_based_herreliga_team_elo_2021_2022.csv,False,False,,Herreliga
SKH,2022-2023,Skjern Håndbold,Herreliga,30,1363.6,player_based_herreliga_team_elo_2022_2023.csv,False,False,,Herreliga
SKH,2023-2024,Skjern Håndbold,Herreliga,41,1335.2,player_based_herreliga_team_elo_2023_2024.csv,False,False,,Herreliga
SKH,2024-2025,Skjern Håndbold,Herreliga,20,1345.6,player_based_herreliga_team_elo_2024_2025.csv,False,False,,Herreliga
AAH,2017-2018,Aalborg Håndbold,Herreliga,18,1262.8,player_based_herreliga_team_elo_2017_2018.csv,False,False,,Herreliga
AAH,2018-2019,Aalborg Håndbold,Herreliga,17,1303.9,player_based_herreliga_team_elo_2018_2019.csv,False,False,,Herreliga
AAH,2019-2020,Aalborg Håndbold,Herreliga,15,1327.3,player_based_herreliga_team_elo_2019_2020.csv,False,False,,Herreliga
