haendelse_1,antal
Mål,15776
Skud reddet,6289
Fejlaflevering,3174
Tilkendt straffe,2005
Regelfejl,1761
Mål på straffe,1573
Skud forbi,1508
Time out,1450
Udvisning,1356
Skud på stolpe,1237
Skud blokeret,952
Tabt bold,811
Advarsel,500
Straffekast reddet,312
Start 2:e halvleg,296
Halvleg,292
Start 1:e halvleg,291
Passivt spil,121
Straffekast på stolpe,92
Fuld tid,51
Kamp slut,45
Straffekast forbi,34
Video Proof,23
Video Proof slut,23
"Rødt kort, direkte",15
Rødt kort,4
Blåt kort,2
Protest,1
Start,1
Udvisning (2x),1
