team_name,league
Aarhus Håndbold Kvinder,Kvindeliga
Aarhus United,Kvindeliga
Ajax København,Kvindeliga
Bjerringbro FH,Kvindeliga
EH Aalborg,Kvindeliga
Herning-Ikast Håndbold,Kvindeliga
Holstebro Håndbold,Kvindeliga
Horsens Håndbold Elite,Kvindeliga
Ikast Håndbold,Kvindeliga
København Håndbold,Kvindeliga
Nykøbing F. Håndbold,Kvindeliga
Nykøbing F. Håndboldklub,Kvindeliga
Odense Håndbold,Kvindeliga
Randers HK,Kvindeliga
Ringkøbing Håndbold,Kvindeliga
Silkeborg-Voel KFUM,Kvindeliga
Skanderborg Håndbold,Kvindeliga
SønderjyskE,Kvindeliga
SønderjyskE Kvindehåndbold,Kvindeliga
SønderjyskE Kvinder,Kvindeliga
TMS Ringsted,Kvindeliga
Team Esbjerg,Kvindeliga
Vendsyssel Håndbold,Kvindeliga
Viborg HK,Kvindeliga
Voel KFUM,Kvindeliga
