keeper,games_est,mv_occurrences,saves,penalty_saves,goals_against,total_saves,save_pct
Anna KRISTENSEN,1618,1618,492,28,818,520,38.9
Cecilie GREVE,1700,1700,487,13,901,500,35.7
Althea REINHARDT,1008,1008,308,13,499,321,39.1
Anna VENG,1291,1291,262,3,789,265,25.1
Stine BONDE,978,978,248,11,546,259,32.2
Irma SCHJÖTT,889,889,234,1,491,235,32.4
Ditte VIND,865,865,219,7,512,226,30.6
Anne Christine BOSSEN,871,871,214,7,488,221,31.2
Sabine ENGLERT,671,671,186,5,362,191,34.5
Louise Bak JENSEN,649,649,169,8,361,177,32.9
Mathilde BISGAARD,828,828,167,5,512,172,25.1
Mayssa PESSOA,760,760,165,4,410,169,29.2
Clara BAK,712,712,158,4,424,162,27.6
Amalie MILLING,708,708,150,6,414,156,27.4
Stine BROLØS,669,669,147,8,395,155,28.2
Claudia ROMPEN,637,637,152,2,362,154,29.8
Nora PERSSON,665,665,150,4,381,154,28.8
Sarah ERNEBJERG,580,580,141,11,344,152,30.6
Stine ALMIND,627,627,144,5,399,149,27.2
Andrea AUSTMO,518,518,133,12,258,145,36.0
Yara TEN HOLTE,569,569,135,9,279,144,34.0
Rakul WARDUM,653,653,138,2,414,140,25.3
Martina THÖRN,545,545,124,3,321,127,28.3
Ida VIUM,468,468,107,9,273,116,29.8
Catharina BROCH,576,576,110,5,353,115,24.6
Emily Stang SANDO,472,472,107,7,279,114,29.0
Sophie MOTH,480,480,108,3,292,111,27.5
Ida Marie KAYSEN,521,521,90,7,322,97,23.2
Filippa IDÉHN,239,239,66,1,131,67,33.8
None,12829,12829,60,5,794,65,7.6
Mathilde JUNCKER,231,231,55,1,142,56,28.3
Line CHRISTIANSEN,190,190,42,6,112,48,30.0
Therese LARSEN,184,184,30,5,104,35,25.2
Isabella MATHORNE,130,130,28,0,75,28,27.2
Freja HAMMER,111,111,23,1,62,24,27.9
Bianca SCHANSSEMA,88,88,22,1,44,23,34.3
Josephine NORDSTRØM,85,85,21,1,50,22,30.6
Emma FRIBERG,100,100,18,1,67,19,22.1
Jesse Van De POLDER,62,62,13,1,40,14,25.9
Sarah Nørklit LØNBORG,86,86,11,1,56,12,17.6
Ida Marie PEDERSEN,61,61,10,0,42,10,19.2
Nicoline SKJÆRRIS,17,17,5,0,10,5,33.3
Karoline MAKNE,27,27,3,1,16,4,20.0
Emilie FIRGAARD,34,34,3,0,28,3,9.7
Ida Mai NIELSEN,6,6,1,0,4,1,20.0
Ida Kramer VIUM,16,16,0,1,13,1,7.1
Andrea KEMPH,4,4,1,0,1,1,50.0
12,3,3,0,0,3,0,0.0
89,1,1,0,0,1,0,0.0
Sarah Nørregaard THOMSEN,5,5,0,0,5,0,0.0
