team,master_elo,games_played
MTH,3000.0,0
REH,3000.0,0
AAH,3000.0,0
KIF,3000.0,0
SKH,3000.0,1
TTH,3000.0,0
NSH,3000.0,0
FHK,3000.0,0
BSH,3000.0,0
LTH,2999.9,0
SJE,2999.6,1
GOG,2984.1,196
TMS,2793.8,0
SKB,2244.4,0
SAH,2176.9,26
ARH,2077.9,0
BSV,2001.2,0
Aalborg Håndbold,1841.5,280
HCM,1769.0,0
SFH,1680.5,0
GIF,1662.7,0
Bjerringbro-Silkeborg,1640.3,264
Skjern Håndbold,1634.2,276
Fredericia Håndboldklub,1606.7,149
SBH,1587.5,0
TMT,1578.0,0
TTH Holstebro,1553.0,253
Mors-Thy Håndbold,1533.7,237
Skanderborg Aarhus Håndbold,1522.9,66
GOG Håndbold,1499.9,79
Fredericia Håndbold Klub,1468.6,26
SønderjyskE Herrer,1456.0,205
Ribe-Esbjerg HH,1448.1,241
Fredericia HK,1435.9,18
SAH – Skanderborg AGF,1434.4,30
Skanderborg Håndbold,1418.2,115
TMS Ringsted,1417.3,140
Sønderjyske Herrehåndbold,1408.7,30
KIF Kolding,1383.3,205
Nordsjælland Håndbold,1380.1,208
SønderjyskE,1373.7,1
Skanderborg AGF,1372.3,5
AJX,1368.4,0
SYD,1367.4,0
HOJ,1367.1,0
SAH - Skjern Håndbold,1355.4,1
KIF Kolding København,1350.9,32
None,1350.1,0
TEST_OPPONENT,1349.9,0
Århus Håndbold,1346.5,88
Grindsted GIF,1344.9,13
Ajax København,1343.2,2
HØJ Elite,1343.1,2
"Grindsted GIF, Håndbold",1340.5,19
Team Sydhavsøerne,1334.4,2
Skive fH,1307.1,35
Lemvig-Thyborøn Håndbold,1301.9,171
TM Tønder Håndbold,1281.2,27
HC Midtjylland,1253.9,52
