Player,FinalRating
SJE_11_Nicolaj JØRGENSEN,5408.00
SKH_13_Noah GAUDIN,4772.00
TTH_18_Edwin ASPENBÄCK,4475.00
GOG_15_Tobias GRØNDAHL,4435.00
AAH_7_Thomas ARNOLDSEN,4354.00
MTH_21_Marcus MIDTGAARD,4323.00
GIF_21_Kristoffer VESTERGAARD,4056.00
TTH_11_Thomas DAMGAARD,3978.00
REH_81_Alfred JÖNSSON,3911.00
GOG_29_Hjalte LYKKE,3826.00
TTH_7_William AAR,3826.00
TMS_7_Christoffer DREYER,3745.00
SAH_15_Emil LÆRKE,3714.00
TMS_19_Benjamin HALLGREN,3698.00
MTH_7_Nichlas HALD,3602.00
FHK_93_Anders MARTINUSEN,3595.00
NSH_42_Matias CAMPBELL,3582.00
KIF_5_Oliver NORLYK,3522.00
FHK_97_Reinier TABOADA,3517.00
SAH_32_Fredrik OLSSON,3511.00
BSH_11_Rasmus LAUGE,3477.00
GIF_4_Frederik NIELSEN,3442.00
SAH_23_Morten Hempel JENSEN,3414.00
AAH_18_Aleks VLAH,3392.00
SJE_29_Magnus FREDRIKSEN,3372.00
SKH_10_Joaquim NAZARÉ,3371.00
NSH_3_Carl-Emil HAUNSTRUP,3354.00
NSH_13_Gustav BRUUN,3340.00
MTH_10_Mads Svane KNUDSEN,3339.00
AAH_15_Jack THURIN,3285.00
BSH_26_Peter BALLING,3261.00
KIF_21_Kristian STOKLUND,3254.00
TMS_81_Tobias NIELSEN,3251.00
BSH_32_Nikolaj LÆSØ,3173.00
GOG_3_Nicolai PEDERSEN,3140.00
REH_17_Andreas SØGAARD,3118.00
SKH_15_Lasse MIKKELSEN,3049.00
GOG_8_Frederik TILSTED,3041.00
SAH_3_Kristjan ÖRN KRISTJANSSON,3041.00
REH_11_Mathias JØRGENSEN,3014.00
SJE_28_Patrick VOLZ,2949.00
NSH_57_Nikolaj LARSSON,2947.00
NSH_11_Jonas RAUNDAHL,2908.00
BSH_4_Patrick BOLDSEN,2888.00
SKH_22_Jakob RASMUSSEN,2863.00
FHK_9_Martin BISGAARD,2857.00
TTH_6_Frederik BJERRE,2808.00
MTH_11_Lasse PEDERSEN,2799.00
NSH_14_Rasmus MADSBØLL,2783.00
TMS_5_Mark NIKOLAJSEN,2758.00
MTH_28_Rasmus MADSEN,2751.00
SAH_25_Jeppe CIESLAK,2730.00
SAH_28_Morten KAALUND,2726.00
TTH_28_Kevin GULLIKSEN,2704.00
GOG_9_Henrik JAKOBSEN,2687.00
FHK_7_Kasper YOUNG,2682.00
SJE_20_August WIGER,2681.00
BSH_34_Morten OLSEN,2672.00
KIF_11_Magnus KRONBORG,2656.00
SKH_14_Emil BERGHOLT,2641.00
REH_31_Morten JØRGENSEN,2615.00
KIF_28_Lauritz LEGÉR,2609.00
GIF_17_Kristian Krag ØRSTED,2597.00
REH_14_Nicolaj SPANGGAARD,2594.00
